APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS
a2dpvolume,9.935694932937622,50,263,49,5.26,236
aagtl,1.4698634147644043,44,77,0,1.75,77
aard2,14.708513259887695,31,179,4,5.77,79
acal,2.0932228565216064,34,89,46,2.62,46
Addi,2.724308490753174,13,26,2,2.00,26
adsdroid,1.4143555164337158,12,15,0,1.25,15
aGrep,0.9075438976287842,49,176,0,3.59,176
alarmclock,1.0755972862243652,37,118,2,3.19,90
aLogCat,1.493896722793579,49,85,0,1.73,85
amazed,1.3563365936279297,40,175,0,4.38,175
androidmatic-keyer,2.0023627281188965,41,61,0,1.49,61
anycut,0.9031763076782227,44,92,10,2.09,92
anymemo,23.102049350738525,37,133,15,3.59,133
appcachecleaner,21.745285511016846,50,65,0,1.30,65
autoanswer,0.7203619480133057,20,28,0,1.40,28
battery_circle,1.2751288414001465,49,193,0,3.94,193
batterydog,0.8067307472229004,50,63,0,1.26,63
bites,0.7719638347625732,47,83,0,1.77,83
blokish,18.584961891174316,47,97,0,2.06,97
bomber,0.6826419830322266,32,46,0,1.44,46
bookcatalogue,11.71813416481018,41,216,66,5.27,215
countdowntimer,4.703262805938721,41,49,0,1.20,49
dalvikexplorer,0.9763541221618652,42,52,0,1.24,52
dialer2,1.0229887962341309,50,76,0,1.52,76
divide_and_conquer,1.5430974960327148,49,132,0,2.69,132
fileexplorer,1.8895542621612549,13,21,0,1.62,21
frozenbubble,1.4611940383911133,47,146,0,3.11,146
gestures,10.41668701171875,44,219,20,4.98,167
hndroid,0.9518435001373291,50,75,0,1.50,75
hotdeath,1.4099996089935303,44,75,0,1.70,75
importcontacts,0.8327465057373047,49,62,0,1.27,62
jamendo,1.6332895755767822,49,112,0,2.29,112
k9mail,28.000182151794434,47,427,29,9.09,210
learn_music_notes,0.7946772575378418,47,133,0,2.83,133
lockpatterngenerator,1.0113892555236816,50,123,0,2.46,123
lolcatbuilder,0.9189658164978027,50,79,0,1.58,79
manpages,0.9291093349456787,50,62,0,1.24,62
mileage,2.378859281539917,39,63,1,1.62,63
mininoteviewer,1.260430097579956,49,147,8,3.00,101
mirrored,3.4424142837524414,50,83,0,1.66,83
multismssender,0.8334028720855713,48,85,0,1.77,85
munchlife,0.8825318813323975,20,23,0,1.15,23
musicplayer,6.780667304992676,27,113,7,4.19,113
myexpenses,145.1033227443695,23,465,13,20.22,323
mylock,0.7563736438751221,46,109,55,2.37,109
nectroid,1.073209524154663,42,66,0,1.57,66
netcounter,0.883861780166626,50,79,0,1.58,79
passwordmaker,28.601064205169678,45,60,0,1.33,60
passwordmanager,28.376461267471313,21,35,0,1.67,34
quicksettings,1.1545116901397705,37,274,9,7.41,124
ringdroid,1.2633116245269775,50,271,0,5.42,271
sanity,1.7123377323150635,46,190,22,4.13,141
swiftp,19.453736305236816,50,68,0,1.36,58
syncmypix,1.3505034446716309,43,289,9,6.72,145
tippytipper,3.8334803581237793,50,103,0,2.06,103
tomdroid,1.6754281520843506,44,198,43,4.50,186
translate,1.0914151668548584,37,67,0,1.81,59
weight_chart,1.075244665145874,48,85,0,1.77,85
whohasmystuff,10.719273090362549,50,58,0,1.16,58
wikipedia,40.53965163230896,43,100,7,2.33,90
worldclock,1.0370898246765137,49,140,1,2.86,99
yahtzee,0.8397917747497559,47,79,0,1.68,79
zooborns,1.0801138877868652,47,90,6,1.91,90
k9mail,25.44624423980713,46,431,29,9.37,209
k9mail,25.664806604385376,47,440,42,9.36,222
k9mail,26.55366563796997,47,444,36,9.45,222
k9mail,27.918997287750244,47,432,33,9.19,222
k9mail,21.5616672039032,47,440,42,9.36,222
k9mail,22.29690647125244,47,432,33,9.19,222
