APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS
04BBC68C19B687719AD5779A252A06C9C8DF40D9C0BEE7A1EE2C931C5551FE2B,163.20683979988098,0,0,0,0.00,0
0CF0C826D2240FE37EDA3F90B77A2417EFA71788CA3CEF8991E6FF31650B321F,63.39269042015076,38,496,0,13.05,496
0D71FCE1875EBABE2675DE8448D26D6A847AF5A46605E3ECE5EB28ACEAE2341E,55.92254066467285,5,24,0,4.80,24
1187FDE940EC2DE72B2DFEA47B00721E7D4C73FE6E005E9DE3A7A00AD18CD4C8,821.2585983276367,35,1364,91,38.97,1222
1C638E0E8F7C196052C62FF1EF686FFB540DEB466CF4C83CEB00DC56267DDF00,121.72622084617615,36,686,212,19.06,390
1DBA321D4179F537DC0A90A5D4AF9CC040A97BE5C4B94933ECCB7C6952BFE210,85.88699674606323,31,133,1,4.29,133
1DCD40F296B3F9D7C22181B2B50A4A3F56235DEE5DAFCEC4AB612EBD2AF4DBD5,89.61796021461487,0,0,0,0.00,0
1F32D5EDDC0AA3C8D36CB7969BCFE89C3C8837798C72B10DA236C0716739811F,228.66816449165344,4,27,0,6.75,21
310560AD969630B22BB35012B4CD9C2FABED987DE969B84BFFACB093D251AB92,472.4740152359009,18,415,96,23.06,337
310A1C97683A7ADCAD0FF3D6A420295BE2711E48E87A3CE276F3D671783BDA64,293.25245428085327,9,29,0,3.22,29
316857F311A9CC9372C1E9AA5CE825B634BC9BB7AD60BB2DC1F2EFA5EEDEE67B,156.4546754360199,6,13,3,2.17,13
32340085A75DFA921C14F49F657B8392716A2A715B8085CE889C312E6D0F4EC9,72.80581593513489,41,521,0,12.71,521
36EAC9DCDF90FD31E35B29ABBAE06F50669219B34EABAB6E6B0985AB81C6D656,238.13138723373413,14,295,64,21.07,235
399B98135AA57C9E277B5CA4E063CF4744BCBD08A36385288FF60987A4B4345A,26.922840356826782,12,28,0,2.33,28
3CBEE1BF7A9315C50A1C8BF7AFF109022EA1CB9D70EC3C1CB1065BE748A715C2,320.89111852645874,16,22,0,1.38,22
3DF20A5070B08B222B80E5078A10E6AAB8C62AD29C48C1BCA42B64A55B92DA70,93.97049403190613,8,18,0,2.25,12
3EE6CCFC55AF0E7AC50661F0A55F8F6D73E97BE4143193AF9D9C8BB1FC8508A8,100.02082371711731,38,532,0,14.00,532
4B7D98CED2DA7C5193A748751EE71961B1A952E7B5CB04B34F60ADD657439942,169.13274669647217,15,18,0,1.20,18
4C61FCE1594C6B1EBC202D0B5F81E67834AC9AE153B3A8D346172F7F8DAD8184,227.54890727996826,8,11,0,1.38,11
4C788D1016D7A0E52588ACB05E1FB8CB64715613B97A39BDE6B1A5FA3F7B713F,33.90418314933777,11,18,0,1.64,18
4D954876AB5CC6831F36ECC61E81CC358A6FA83A58A9660306DF8421DE74F77F,5.579973936080933,47,389,0,8.28,389
500A031CB2AA0B1D569D8CB408E411A494B6660E13FC2C19CE61A559FEE3B465,313.7902338504791,39,694,4,17.79,694
532594BBC07EB823F014D10F708FB4AB096066A3670B2F807C4938E8EBFE2CA9,313.02723956108093,4,48,25,12.00,44
533AAAB6D60CC9D804D99097F330E031F055571AAE9D3FDB169ED8174ACC7FA5,7.209574937820435,13,225,0,17.31,225
53F9E9E7875E4C1BAA0BA6445636E5836B03A354E0CDD0B40EB40D2715F35AF0,44.71161198616028,39,448,0,11.49,448
5D8B80B645872869A233E1310CC62EE72095504BA1CCCB40BEC681EF5ABF66C2,67.81634020805359,26,76,0,2.92,75
602B1715D89090EC03A3F092CDB83CF561867BDF1BC9DA02BD9E04A7EF7D70D5,213.80456042289734,6,18,0,3.00,16
62B64697228CF0C7BA4CD7EB030C8015D15B669EB30FA6D1CA0D46DABA4F163D,27.757373094558716,0,0,0,0.00,0
62E9DFDADB6E4E953EE6C0C9DFB75498425D66026AA5A2140739E41F8058B6A5,504.0316894054413,36,62,0,1.72,55
648FB3C73DAD732B2B01BBF458BF203E379BCA89F10339C2C32188F337FB45F3,150.8589129447937,9,15,0,1.67,15
679F38318BC2C7292934602FE73667782576DC6A41FAEF9DF2BFC87387D1DF1F,143.7382493019104,37,918,123,24.81,806
6ABFCF8D5F9E2CAF20FB344C7493A26D9ACDBDBB4812F7A7CE548AA9F3028EC2,151.9076371192932,15,69,0,4.60,65
6E3224387F7594BD7F688720304F7E5355E8151FBCC107F80F7AC152E91822CE,50.419492959976196,2,9,0,4.50,9
706EF66DDA6A0B7AEB037FFEF0C1396695F60FBC1B5A5454B6163D83BD323FD2,96.332923412323,5,31,0,6.20,30
723E2A8CCBA432100D965CAA79A0B5AB09022E33F7AD141AEA57F007A2C8853F,296.3965947628021,12,28,0,2.33,25
727276373F46DA7287F598E5C4FDB9EC87F176DFAEB3BA353414145588FD192E,98.41113376617432,1,1,0,1.00,1
749B9D1FE926036F7153688A82E30A4C930E4400D7672FBEE51271F81CB99C8C,134763.62230229378,19,1140,39,60.00,910
756A2DE332BD9A720D8CC4B3E8FA0C1C305408A1700ED0A48F9DA993B2E98C20,21.805195808410645,14,24,0,1.71,24
7A22A5ACD90B9483D2F014DBD2FAFF0ACF3929689A769180BB64818B5D0C078C,274.47169280052185,3,4,0,1.33,4
828B5F7D5F50F15764FB37BE16BA7BC6125BF7CD49BDFAFBB7DEB2A74F89B7D2,147.61585640907288,29,127,0,4.38,127
83BB65128E77550D947F6D3B8CCE10409C85762FFA068298D4E89A1115D95727,72.40192484855652,37,473,0,12.78,471
8971FEE31E8B88E3C3E0495225892EED679DC0E46B117C5BAD9602B154D1C2AE,246.9190375804901,17,22,0,1.29,22
8CC3A0B940C5094D828FF588E9FBA5FB1E7AD60FE8DE291DC282263A85619D73,96.47754192352295,3,11,0,3.67,11
8D825A6660B25B179A12C596042B34A56B333898701396C004074FD299A1F704,48.73165512084961,41,280,0,6.83,277
900A0DCE4D39F93EBACDCFA3D6B0BA0291925F3F3E758E7EFF56622574A8215C,37.09763193130493,12,48,4,4.00,37
93845B8AC9A0E38CD4FAD24FA2BCE7894A5B6287CBA438104CB6986B6A3B3950,77.10633444786072,31,310,96,10.00,260
9EEFDB32EBFF2031EC0E67F344C6A74239E325F6ACDBB60DD13B308EF7159FA4,83.75030446052551,5,5,0,1.00,5
A00904829C0A10ACE856E2355042F75DD677ACECB6EF86267565FC4A26A13D49,123.1851749420166,11,18,0,1.64,17
A02D04D80C13AA46FD8BD3D9A58ED85F840CEDF61EC83D1DF5CE191221A8FF4C,266.9554681777954,24,647,110,26.96,579
A03489963002E953A314F62313FFCA290DE63122B006A33747A08076A811B09D,384.7624542713165,23,147,2,6.39,147
A22659C4431211CACE712E7FF08F5E95324D1CE048E778FFC53F9492F429C98F,75.98709917068481,2,2,0,1.00,2
A34FDB9086EC8DBB1360DAE71F768FCF974A147900276B786761640788F475C3,28.87193489074707,41,135,6,3.29,135
B1C462DF2BD1FB8DF24A618C1A3FC6639192D7F4FD7716EA598F0DEF3BCFC5CE,80.97383117675781,11,101,10,9.18,44
B5E2D04877F05418A0C8BF69C597A6BE05F1E92FD48EA2A98E3E3B04A7F864BB,236.90953660011292,7,43,10,6.14,40
B8C6C6E64059B162D37FA2FFCDC299080ED67EDE2CE5C951871DC0D051BA67BC,62.9431529045105,7,13,0,1.86,13
BCEF703760134EB59C6B79F2918D2ED472AD1D5E7CF4DA8B55B0D9EFE2FB6EB3,326.9402620792389,22,734,11,33.36,708
BE757DF4FAE414630FBC89441E1F8E1B51E2EAD6437DADA90D24C1F20F6DDAAF,100.69356226921082,22,49,1,2.23,49
C1BC2D7C0660F84D91211E37C2C2CC626DF4D238C6E19E0666969C653C61F36B,273.66604685783386,1,3,2,3.00,3
C5DF4EF13424F13BDE61989E87DFA297F1937CFD7CD64947A175E285E8893A36,63.13875961303711,18,113,0,6.28,111
C8DA97AF7A2938B3980F1A826B9DDAC87BFC99E3C250489B16CC1AB87F53F401,84.87333869934082,7,38,7,5.43,31
C9AA434010BFC01ABEF9EA5D541B9DD0089250B0BBAA79CB2EF52247707EA2E5,123.80594110488892,11,17,0,1.55,17
D0C838B62DAFED43A2B0E53F9BACCC37F176D95A96799112255F649D017A93D8,60.565768241882324,26,185,46,7.12,185
D1CDECA2D40A726353028BCCD732A8BAE99D3F139200F0793EDF64FB4116E801,168.8803210258484,4,6,0,1.50,6
D2AFE1461D56AE42738E771482E24FEC3C068278908526C75C7DEC07A4A4AC8D,175.73806047439575,27,103,0,3.81,103
DF04014829C2C35CD7ADC6C207EEF0247DEC09627420AF40544C775396095FED,96.55093312263489,21,287,89,13.67,205
E16874E7A622F6179934B2DAE7539F4D3CBB4950F1E2F2D82D7D792CA9E041DF,308.10381031036377,5,23,9,4.60,23
E4CC947BC139A052B05FD662F3E874D29DAB322F518DDA85365AED652FA8A326,441.8625633716583,19,114,1,6.00,113
E5F758DA5DE6A942AF537AFA000FE6A0D9F11F5EB317E4B690EDBEE74900BEC6,351.0011987686157,2,49,0,24.50,41
E9F4068EA87ECAE4DC0381CCAE43A6378E172CC2CD7F7EB358493B4DACC4C416,61.775749921798706,38,465,0,12.24,465
EE233D7E53B35CB7172459D3713DB404EB0D6881FEED7E3D947BBCC2055B813C,133.94324469566345,17,47,0,2.76,47
F119618FA7FE542F33AFDB09AA08AE95FF2637D4E1402308BF94B4FD130275F8,305.9137260913849,11,116,14,10.55,102
FAAAA01D22103C01235283285F3E3563837A705EB66231A4A8C0A949FEBAD591,69.84109997749329,13,22,0,1.69,19
