App name,Analysis Time,SR,Average paths per method,RR
DoorDash,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
Linky,8621.22,94.00%,377.98,0%
Lite,13.88,56.00%,3.11,32.14%
Too Good To Go,1202.93,56.00%,130.93,0%
CBS Sports,5149.47,72.00%,115.11,13.89%
ExpressVPN,726.80,40.00%,147.0,0.00%
Instacart,11803.25,66.00%,145.3,0%
Poly.AI,8381.61,74.00%,283.3,0%
Health Tracker,2115.44,80.00%,179.8,0%
Blood Sugar,4803.66,76.00%,171.16,26.32%
Fast Launcher,6581.19,58.00%,319.52,0%
BitMine Pro,31.94,2.00%,1.0,0.00%
Dominos,474.46,96.00%,10.69,0.00%
Burger King,1115.67,70.00%,92.57,20.00%
Temu,12702.92,88.00%,146.8,0%
CapCut,8552.67,28.00%,83.14,0%
Instabridge,1975.61,46.00%,14.09,0%
YouTube TV,3889.74,78.00%,157.77,0%
Airbnb,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
My Spectrum,380.20,60.00%,37.67,3.33%
Bumble,7431.58,76.00%,198.26,0.00%
Messages,998.38,30.00%,5.0,0%
AliExpress,4292.38,68.00%,258.56,0.00%
KashKick,593.50,76.00%,46.47,26.32%
FOX Sports,1984.20,58.00%,131.9,31.03%
Americas best pics and videos,15956.13,68.00%,164.32,0.00%
Capital One,12652.42,78.00%,40.95,0.00%
Threads,17919.86,88.00%,162.0,0.00%
Expedia,1535.68,26.00%,2.08,0%
Clean Planner,1846.72,86.00%,37.12,9.30%
Character.AI,762.00,72.00%,83.56,8.33%
Find My Device,366.70,62.00%,58.32,29.03%
Cash Giraffe,564.47,66.00%,49.42,0.00%
Discord,501.09,58.00%,87.45,0.00%
Mistplay,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
BofA,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
Inbox Homescreen,9853.38,90.00%,181.33,2.22%
Beat Maker Pro,6853.69,82.00%,177.9,4.88%
Authenticator,3386.86,60.00%,172.17,33.33%
YT Kids,3262.28,88.00%,101.0,47.73%
Translate,1049.19,88.00%,140.98,22.73%
Canva,1065.05,52.00%,141.12,3.85%
Kalshi,260.20,50.00%,16.48,0.00%
DraftKings Sportsbook & Casino,2019.26,72.00%,221.39,0.00%
Zipper Lock Screen,948.18,36.00%,36.56,16.67%
BandLab,2663.01,62.00%,191.97,0.00%
Zangi,867.46,80.00%,40.23,0%
Edge,3384.73,66.00%,182.24,0%
CVS,16402.20,34.00%,257.82,5.88%
Teams,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
Little Caesars,1808.56,88.00%,246.7,0%
Move to iOS,26.18,98.00%,1.55,12.24%
iHeartRadio,4774.52,58.00%,39.03,65.52%
ESPN,5079.03,84.00%,172.1,9.52%
JustPlay,7844.49,74.00%,77.14,13.51%
Hulu,593.11,44.00%,78.32,9.09%
 Zipper Lock Screen,1423.66,74.00%,78.46,8.11%
DuckDuckGo,621.35,62.00%,12.39,6.45%
JumpJumpVPN,533.24,98.00%,21.94,0.00%
Credit Karma,4949.62,76.00%,226.5,5.26%
FanDuel Sportsbook,881.27,58.00%,122.59,3.45%
Affirm,7231.17,64.00%,51.66,46.88%
Alibaba.com,1448.17,88.00%,62.5,40.91%
eBay,6070.36,74.00%,382.76,0%
Roku Remote,2463.15,82.00%,97.32,0.00%
QR & Barcode Scanner,228.27,52.00%,32.96,30.77%
Etsy,3373.35,86.00%,254.07,0%
Authenticator,243.66,100.00%,19.4,52.00%
Duolingo,5808.11,72.00%,134.89,4.53%
Chase,5258.88,44.00%,251.86,0%
Indeed Job Search,617.21,82.00%,78.44,3.54%
TV Remote,2019.02,76.00%,89.92,0%
Messenger,12994.27,60.00%,247.83,0%
Prime Video,1748.76,64.00%,92.16,0%
Scoopz,3315.44,88.00%,113.3,13.64%
Amazon Music,6780.89,58.00%,155.79,2.87%
Google Earth,123.26,68.00%,39.62,5.34%
Life360,6448.60,76.00%,363.32,2.66%
 EZ Recovery,528.17,64.00%,107.12,12.50%
Docs,13184.93,78.00%,203.97,0.00%
