APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS,PoR
007369C5426B651F18DDBED741D0A9371881C09F80A454CF9DA4136BF513DACE,26887.902956724167,36,7156,0,198.78,6474
024B2BB9052802C2EF1EDBE830E9B2F0C4611552A5519F1F5E312255240F2D2E,8621.216809511185,47,17765,0,377.98,12029,0
0770C8B209395DF6D9E324FB3F403A4CCBDECF6E5C4A30E29929855A64700B53,13.879359006881714,28,87,0,3.11,87,32.14
08BF13DBCFB1D144BFEC01A9A865E22FCE7D6EAEA75D84BBE7C73EF13F4D09FF,1202.9255096912384,28,3666,0,130.93,3081,0
092C9ED791EBA1FED5C1D634E4C9B87DE27814F00A71E86AE3FD82D0B841D852,5149.465248823166,36,4144,0,115.11,3160,13.89
0B0354EB13F99777BBBFBFCEB21A7BD58DA25FD2AB7D7E00DD79AA04DE2169AC,726.7968034744263,20,2940,0,147.00,2800,0.00
0CA12139C2CCFF0C7DBECD7D64CFC28707F70ABC76ECE16D7B7AD163204EDAC6,11803.250749826431,33,4795,0,145.30,3881,0
0CAD3163EEDBA014B4233B300DF76930870C70BDA467C45E19FF4E979D45917B,8381.605662822723,37,10482,0,283.30,7447,0
123141FB3D2F0D9B9661111058E1D4030A7486A5AB1177AFA61289EE0C3021D0,2115.4356377124786,40,7192,0,179.80,4717,0
137C81AB369AD2253EC4726ADDEB183B580F952F0EBDB92C205A325A164ECA23,4803.660987615585,38,6504,0,171.16,4530,26.32
1643A7D802787CE9FB02F147ED9BDD00DA414C1DA5E65E728ED640B28C8EA4BA,6581.187910079956,29,9266,0,319.52,6271,0
21A363D79DE839CB25E00705306E973DEAF498704CBA2647C8BBD0D8DF1D5A86,31.938608169555664,1,1,0,1.00,1,0.00
23011E4A855970C4071EE38936AD71A3DF4C0BF6C59D2D145C624AD203F84A98,474.46453881263733,48,513,0,10.69,513,0.00
2360D52892F57B81BF9F87EDF6715556CF5B74DD43A31D53E0E354DFCDFDF7DC,1115.6701958179474,35,3240,0,92.57,2385,20.00
27AE5A850D34C9509E9E781DAAE4816B14176252C41E150588545B9DC1D58FFA,12702.919963359833,44,6459,0,146.80,4983,0
28CD0651577D68C6379F32ABA888413E2EA57C95E25A37446894E91F10252721,8552.666348695755,14,1164,0,83.14,739,0
29AC66591C3400BDAE28237E0B683CD6F43BFA34BFB7A35CC851C6048CC3D0A9,1975.6115267276764,23,324,0,14.09,215,0
2BED4970AE55D6F191CC1041BB9711C0A8C2CEAAF7FF3F27FC6F03EB8D5A5FDD,3889.743436574936,39,6153,0,157.77,4460,0
2C680CDCFB01917DD68718F9E7F04D249F260A0C18A9ECC6FF7BE08335BF4F03,52973.77214169502,48,10391,0,216.48,8439
2D84402D87183B79AE6CE84A3BF1AD16665B1544AC994F220C17717F5984CB5E,380.2020151615143,30,1130,0,37.67,768,3.33
