APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS
007369C5426B651F18DDBED741D0A9371881C09F80A454CF9DA4136BF513DACE,8492.666615009308,7,31,11,4.43,31
024B2BB9052802C2EF1EDBE830E9B2F0C4611552A5519F1F5E312255240F2D2E,1267.7118549346924,14,70,0,5.00,20
0770C8B209395DF6D9E324FB3F403A4CCBDECF6E5C4A30E29929855A64700B53,18.77194881439209,19,39,0,2.05,39
08BF13DBCFB1D144BFEC01A9A865E22FCE7D6EAEA75D84BBE7C73EF13F4D09FF,1538.2005960941315,9,504,134,56.00,376
092C9ED791EBA1FED5C1D634E4C9B87DE27814F00A71E86AE3FD82D0B841D852,2697.2056493759155,18,435,83,24.17,291
0B0354EB13F99777BBBFBFCEB21A7BD58DA25FD2AB7D7E00DD79AA04DE2169AC,561.8400294780731,15,598,0,39.87,598
0CA12139C2CCFF0C7DBECD7D64CFC28707F70ABC76ECE16D7B7AD163204EDAC6,2134.925129890442,5,67,0,13.40,67
0CAD3163EEDBA014B4233B300DF76930870C70BDA467C45E19FF4E979D45917B,4187.083400011063,9,244,46,27.11,162
123141FB3D2F0D9B9661111058E1D4030A7486A5AB1177AFA61289EE0C3021D0,735.5300014019012,14,31,0,2.21,31
137C81AB369AD2253EC4726ADDEB183B580F952F0EBDB92C205A325A164ECA23,1552.3590197563171,11,602,133,54.73,369
1643A7D802787CE9FB02F147ED9BDD00DA414C1DA5E65E728ED640B28C8EA4BA,2673.5244886875153,15,914,89,60.93,391
21A363D79DE839CB25E00705306E973DEAF498704CBA2647C8BBD0D8DF1D5A86,50.45594310760498,0,0,0,0.00,0
23011E4A855970C4071EE38936AD71A3DF4C0BF6C59D2D145C624AD203F84A98,1040.2023882865906,46,65,0,1.41,65
2360D52892F57B81BF9F87EDF6715556CF5B74DD43A31D53E0E354DFCDFDF7DC,575.6473650932312,14,16,0,1.14,16
27AE5A850D34C9509E9E781DAAE4816B14176252C41E150588545B9DC1D58FFA,673.7507767677307,0,0,0,0.00,0
2BED4970AE55D6F191CC1041BB9711C0A8C2CEAAF7FF3F27FC6F03EB8D5A5FDD,609.5897555351257,1,1,0,1.00,1
2C680CDCFB01917DD68718F9E7F04D249F260A0C18A9ECC6FF7BE08335BF4F03,129951.21707081795,7,547,97,78.14,319
2D84402D87183B79AE6CE84A3BF1AD16665B1544AC994F220C17717F5984CB5E,355.4733383655548,2,3,0,1.50,3
3066F7C109882B2AD8F5D6BC6ACDCCE416176E6A87A993B5F9FAB1D4D33452DD,1357.5241091251373,0,0,0,0.00,0
312C858E16593DFD39969B2711F31E87344A93ED06B09966F64BB8EAB29B4B7E,1307.8224320411682,9,58,0,6.44,28
39092B8F415B7C3A2A7F967114CC6F6E170DE5959DAA7579A458AC1F3D99C2DF,1173.7736129760742,3,4,1,1.33,3
3D1C0D6F27BCC9C41D6575982DFA2E81EF4E0CB7451921A6059AC7347F6CF295,456.6958055496216,21,113,3,5.38,111
3FB50A264944C767295ECC3329DC6E867DD4686A8AA43D2468A5905884807BFB,897.3790900707245,15,74,6,4.93,58
46E046D1CD03920F7CFB0450FAA76AB1991D9B622E79536B94A3288CFAF0F26A,1577.412390947342,4,27,1,6.75,22
492B7AD058D277CFA5C8EA574ABBB16056D0F07C9F8B157CDBDF2E21CE7485B1,1370.7843396663666,0,0,0,0.00,0
4A4DAB5C2205EA6D7B7260790A4D8D48F185C7D75156800AED00E7B83D3C52BA,24628.179293632507,5,113,30,22.60,75
4B4373F57CDE383E8B7D4CF85DC54AD648A70327BA4C7B6690F17719E62972FE,2158.392054080963,13,30,0,2.31,30
4BADCB8F46CD576853426838AAB406E4C9CE695E9CD55A7B2EAD4FE554A96A2E,1389.251289844513,28,97,8,3.46,97
4C5C3520F5464CE9DCBF22BFDD9E6286B500D9366694F705066141D47D160F14,446.1304669380188,10,46,6,4.60,42
4D0230726D3C34F0D68967F7AB9B3D55613A252D8FB1FE3E358100C5D2541DB0,498.2300400733948,15,230,120,15.33,194
4EBF0DE72FE06B64765A919CDEAFD6D999254E55AF2580FDEC7B22FF3D69C7B2,296.3365080356598,6,11,0,1.83,11
516C4C306B8BB135AB889704B1C3F68C220DD64606062B94E5B7C6FFCD605958,388.9208631515503,11,11,0,1.00,11
57C112CED444CC6864859B8BDE48361B89AAD9716E498BA50EF907FC7EC5D80A,6379.229581832886,3,70,18,23.33,63
57C7B9760A9CC7AA838D7B27251761A80D90620684EF6F1CB98FE9C9E616614A,92411.86511588097,44,7200,2008,163.64,5721
57CE6DFD6CBE695565ABA95AE41014A6E4A85510CC8F4E019FB1271D5E720A53,5192.009947061539,14,838,114,59.86,553
5A96343C7758670400A07E0C21E2B52E591059C8DDCE64A45B23960E73B08252,1687.6923022270203,27,194,84,7.19,194
5AC0E4CDC1699CE67F4EDDD2E5CD61E438406AB339563AD73B510442D4FAD400,9882.390017747879,34,3739,916,109.97,2724
5BF6C557A375251E5BC91363C0CDD51DCDDD27241027FBFA02839449B5E47C1A,2525.663522005081,26,946,319,36.38,557
66C61FAC5D0F296202FEE78A09307C25E8D1069A25044B1C40C01D4FCBB2D1F9,552.3750412464142,3,52,19,17.33,51
6763AB19F9A46223EA2718C8F7A580EA7733659B0475972D3E0E84D2579F2236,214.71820712089539,3,17,0,5.67,5
697FE7AAA0922C43CC827569961B654771630539DBD4211100D8667E9C8B32CA,587.1193006038666,0,0,0,0.00,0
6EBED1A466F613167F29D3E7932443BDB0EF97012E3126C60323C4F28860CA9F,2028.1598880290985,35,721,2,20.60,715
6F7FFDD9BC7B322B1BA6BD3F9CD4AB48ECDE423294B5535DF2C4C3ED62222469,1010.9819631576538,1,42,13,42.00,28
72A578148C8FFA4B90839EA856B60C7912B44973E4F33DF0B7E65EAB92DB079C,2806.7691843509674,22,204,82,9.27,204
771952023C1EAE7B5DCCB8CF2106363AE214425D3936CEDFBCAF86D6D7FB5C3A,1257.3514885902405,14,92,39,6.57,89
7958901BCABDE974E9FCF8BF7DE63BD8CEB654A1718A953F8626A3E829207AB0,147297.01209664345,27,3642,991,134.89,2174
