APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS
007369C5426B651F18DDBED741D0A9371881C09F80A454CF9DA4136BF513DACE,3746.229300260544,14,127,0,9.07,102
024B2BB9052802C2EF1EDBE830E9B2F0C4611552A5519F1F5E312255240F2D2E,989.0083703994751,14,94,0,6.71,26
0770C8B209395DF6D9E324FB3F403A4CCBDECF6E5C4A30E29929855A64700B53,14.81315279006958,21,49,0,2.33,49
08BF13DBCFB1D144BFEC01A9A865E22FCE7D6EAEA75D84BBE7C73EF13F4D09FF,803.6507933139801,11,643,0,58.45,519
092C9ED791EBA1FED5C1D634E4C9B87DE27814F00A71E86AE3FD82D0B841D852,2074.986853122711,20,466,0,23.30,319
0B0354EB13F99777BBBFBFCEB21A7BD58DA25FD2AB7D7E00DD79AA04DE2169AC,480.1238853931427,36,8028,0,223.00,8028
0CA12139C2CCFF0C7DBECD7D64CFC28707F70ABC76ECE16D7B7AD163204EDAC6,1285.3117649555206,5,67,0,13.40,67
0CAD3163EEDBA014B4233B300DF76930870C70BDA467C45E19FF4E979D45917B,1719.4277012348175,15,332,0,22.13,272
123141FB3D2F0D9B9661111058E1D4030A7486A5AB1177AFA61289EE0C3021D0,876.5014607906342,25,194,0,7.76,178
137C81AB369AD2253EC4726ADDEB183B580F952F0EBDB92C205A325A164ECA23,1018.2330734729767,18,877,0,48.72,515
1643A7D802787CE9FB02F147ED9BDD00DA414C1DA5E65E728ED640B28C8EA4BA,1566.339304447174,17,1726,0,101.53,871
21A363D79DE839CB25E00705306E973DEAF498704CBA2647C8BBD0D8DF1D5A86,32.14676237106323,0,0,0,0.00,0
23011E4A855970C4071EE38936AD71A3DF4C0BF6C59D2D145C624AD203F84A98,663.4142036437988,46,69,0,1.50,69
2360D52892F57B81BF9F87EDF6715556CF5B74DD43A31D53E0E354DFCDFDF7DC,431.97548818588257,16,32,0,2.00,32
27AE5A850D34C9509E9E781DAAE4816B14176252C41E150588545B9DC1D58FFA,541.5260305404663,0,0,0,0.00,0
28CD0651577D68C6379F32ABA888413E2EA57C95E25A37446894E91F10252721,8552.666348695755,14,1164,0,83.14,739
29AC66591C3400BDAE28237E0B683CD6F43BFA34BFB7A35CC851C6048CC3D0A9,1975.6115267276764,23,324,0,14.09,215
2BED4970AE55D6F191CC1041BB9711C0A8C2CEAAF7FF3F27FC6F03EB8D5A5FDD,684.0788624286652,9,1131,0,125.67,1131
2C680CDCFB01917DD68718F9E7F04D249F260A0C18A9ECC6FF7BE08335BF4F03,8234.648696899414,16,1196,0,74.75,677
2D84402D87183B79AE6CE84A3BF1AD16665B1544AC994F220C17717F5984CB5E,242.21817708015442,10,256,0,25.60,154
