App name,Analysis Time,SR,Average paths per method,RR
A2DP Volume,10.06,100.00%,1.0,58.00%
aagtl,1.35,88.00%,1.0,40.91%
Aard 2,13.23,62.00%,1.0,38.71%
Addi,2.49,26.00%,1.0,46.15%
ADSdroid,1.22,24.00%,1.0,66.67%
aGrep,0.85,96.00%,1.0,56.25%
Alarm Klock,1.03,70.00%,1.0,74.29%
aLogcat,1.41,98.00%,1.0,46.94%
aMazed,1.27,76.00%,1.0,55.26%
Any Cut,1.05,84.00%,1.0,90.48%
Cache Cleaner Debug,17.41,98.00%,1.0,42.86%
AutoAnswer,0.86,100.00%,1.0,30.00%
Battery Circle,1.39,98.00%,1.0,81.63%
Android Battery Dog,0.80,98.00%,1.0,91.84%
Bites,0.81,94.00%,1.0,40.43%
Blokish,13.93,94.00%,1.0,38.30%
Bomber,0.73,100.00%,1.0,81.25%
Book Catalogue,7.33,82.00%,1.0,59.27%
Countdown Timer,3.80,100.00%,1.0,60.98%
Dalvik Explorer,0.91,84.00%,1.0,61.90%
Dialer2,0.92,100.00%,1.0,60.00%
Divide and Conquer!,1.26,96.00%,1.0,79.17%
Frozen Bubble,1.21,96.00%,1.0,41.67%
G2L,8.32,88.00%,1.0,43.18%
Hot Death,1.63,76.00%,1.0,63.16%
Import Contacts,0.80,96.00%,1.0,62.50%
Jamendo,1.28,98.00%,1.0,72.24%
K-9 Mail,22.19,94.00%,1.0,45.70%
Learn Music Notes,0.94,94.00%,1.0,61.70%
Lock Pattern Generator,1.04,98.00%,1.0,75.51%
Lolcat Builder,0.96,98.00%,1.0,38.78%
Manpages,0.88,100.00%,1.0,70.00%
Mileage,1.90,78.00%,1.0,51.28%
miniNoteViewer,1.02,98.00%,1.0,69.39%
Mirrored,3.04,98.00%,1.0,59.18%
Multi Sms,0.77,96.00%,1.0,47.92%
MunchLife,0.83,100.00%,1.0,80.00%
MusicPlayer,5.62,54.00%,1.0,55.56%
myLock utilities,0.81,94.00%,1.0,36.17%
Nectroid,1.08,84.00%,1.0,61.90%
NetCounter,1.06,100.00%,1.0,45.10%
PasswordMaker Pro,24.43,88.00%,1.0,56.82%
Quick Settings,1.40,74.00%,1.0,32.43%
Ringdroid,1.43,100.00%,1.0,58.00%
Sanity,1.72,92.00%,1.0,41.30%
FTP Server (Free),16.43,100.00%,1.0,38.00%
SyncMyPix,1.37,86.00%,1.0,32.56%
Tippy Tipper,3.26,100.00%,1.0,94.00%
Tomdroid,1.64,88.00%,1.0,56.82%
Translate,1.17,74.00%,1.0,62.16%
Weight Chart,1.09,94.00%,1.0,42.55%
Who Has My Stuff?,8.91,98.00%,1.0,81.63%
Wikipedia,33.49,84.00%,1.0,45.24%
World Clock,1.22,92.00%,1.0,50.00%
Yahtzee,0.90,94.00%,1.0,87.23%
ZooBorns,1.12,90.00%,1.0,55.56%
,,,,
Average,4.27,88.24%,1.00,57.44%
