APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS,PoR
a2dpvolume,10.064821481704712,50,271,15,1.00,271,58.00
aagtl,1.3465571403503418,44,77,0,1.00,77,40.91
aard2,13.226620435714722,31,179,6,1.00,179,38.71
Addi,2.486919641494751,13,26,1,1.00,26,46.15
adsdroid,1.2199103832244873,12,15,0,1.00,15,66.67
aGrep,0.8512253761291504,48,176,0,1.00,176,56.25
alarmclock,1.025794267654419,35,118,1,1.00,118,74.29
aLogCat,1.407571792602539,49,85,0,1.00,85,46.94
amazed,1.2743048667907715,38,175,0,1.00,175,55.26
anycut,1.0548734664916992,42,92,4,1.00,92,90.48
appcachecleaner,17.41007089614868,49,65,0,1.00,65,42.86
autoanswer,0.8584640026092529,20,28,0,1.00,28,30.00
battery_circle,1.3857150077819824,49,193,0,1.00,193,81.63
batterydog,0.8019561767578125,49,63,0,1.00,63,91.84
bites,0.814739465713501,47,83,0,1.00,83,40.43
blokish,13.92540955543518,47,97,0,1.00,97,38.30
bomber,0.7266764640808105,32,46,0,1.00,46,81.25
bookcatalogue,7.331342935562134,41,216,7,1.00,216,59.27
countdowntimer,3.7977426052093506,41,49,0,1.00,49,60.98
dalvikexplorer,0.9065501689910889,42,52,0,1.00,52,61.90
dialer2,0.9157497882843018,50,76,0,1.00,76,60.00
divide_and_conquer,1.2613747119903564,48,132,0,1.00,132,79.17
frozenbubble,1.211815357208252,48,147,0,1.00,147,41.67
gestures,8.3217613697052,44,219,1,1.00,219,43.18
hotdeath,1.6314830780029297,38,77,0,1.00,77,63.16
importcontacts,0.8039860725402832,48,62,0,1.00,62,62.50
jamendo,1.2781121730804443,49,112,0,1.00,112,72.24
k9mail,22.192548036575317,47,444,6,1.00,444,45.70
learn_music_notes,0.9412331581115723,47,133,0,1.00,133,61.70
lockpatterngenerator,1.0431640148162842,49,123,0,1.00,123,75.51
lolcatbuilder,0.9629430770874023,49,79,0,1.00,79,38.78
manpages,0.8785862922668457,50,62,0,1.00,62,70.00
mileage,1.9026014804840088,39,63,0,1.00,63,51.28
mininoteviewer,1.021225929260254,49,147,7,1.00,147,69.39
mirrored,3.037677049636841,49,83,0,1.00,83,59.18
multismssender,0.7729129791259766,48,83,0,1.00,83,47.92
munchlife,0.8301727771759033,20,23,0,1.00,23,80.00
musicplayer,5.617271423339844,27,111,0,1.00,111,55.56
mylock,0.8130698204040527,47,119,8,1.00,119,36.17
nectroid,1.0778331756591797,42,66,0,1.00,66,61.90
netcounter,1.056307315826416,50,79,0,1.00,79,45.10
passwordmaker,24.42533040046692,44,60,0,1.00,60,56.82
quicksettings,1.4038732051849365,37,276,3,1.00,276,32.43
ringdroid,1.4320828914642334,50,271,0,1.00,271,58.00
sanity,1.7181916236877441,46,190,8,1.00,190,41.30
swiftp,16.434986352920532,50,68,0,1.00,68,38.00
syncmypix,1.3707261085510254,43,292,2,1.00,292,32.56
tippytipper,3.261674642562866,50,103,0,1.00,103,94.00
tomdroid,1.6377575397491455,44,198,1,1.00,198,56.82
translate,1.1695799827575684,37,67,0,1.00,67,62.16
weight_chart,1.094879388809204,47,85,0,1.00,85,42.55
whohasmystuff,8.912868022918701,49,58,0,1.00,58,81.63
wikipedia,33.48886322975159,42,102,1,1.00,102,45.24
worldclock,1.2153174877166748,46,140,1,1.00,140,50.00
yahtzee,0.8966147899627686,47,79,0,1.00,79,87.23
zooborns,1.1208090782165527,45,90,2,1.00,90,55.56
