time_seconds,time_minutes,output_run1_avg,output_run2_avg,output_run3_avg,final_avg
0,0.000000,0.388906,0.356192,0.371844,0.372314
1,0.016667,4.573988,5.430829,4.702809,4.902542
2,0.033333,5.219244,5.804242,4.902864,5.308783
3,0.050000,5.372081,6.104767,5.021430,5.499426
4,0.066667,5.529880,6.300558,5.085664,5.638701
5,0.083333,5.572273,6.325207,5.090511,5.662664
6,0.100000,5.583824,6.340509,5.093180,5.672504
7,0.116667,5.586316,6.345087,5.110039,5.680481
8,0.133333,5.589165,6.345847,5.126379,5.687131
9,0.150000,5.589384,6.346608,5.127561,5.687851
10,0.166667,5.589384,6.346608,5.129792,5.688594
11,0.183333,5.589384,6.346608,5.129792,5.688594
12,0.200000,5.589384,6.346608,5.129792,5.688594
13,0.216667,5.589384,6.346608,5.129792,5.688594
14,0.233333,5.589384,6.346608,5.136463,5.690818
15,0.250000,5.589384,6.346608,5.136463,5.690818
16,0.266667,5.589384,6.346673,5.136463,5.690840
17,0.283333,5.589384,6.346673,5.136463,5.690840
18,0.300000,5.589384,6.346673,5.136463,5.690840
19,0.316667,5.589384,6.346673,5.136463,5.690840
20,0.333333,5.589384,6.346673,5.136463,5.690840
21,0.350000,5.589384,6.346673,5.136463,5.690840
22,0.366667,5.589384,6.346673,5.136463,5.690840
23,0.383333,5.589384,6.346673,5.136463,5.690840
24,0.400000,5.589384,6.346673,5.136463,5.690840
25,0.416667,5.589384,6.346673,5.136529,5.690862
26,0.433333,5.589384,6.346673,5.136529,5.690862
27,0.450000,5.589384,6.346673,5.155130,5.697062
28,0.466667,5.589384,6.346673,5.159780,5.698613
29,0.483333,5.607985,6.346673,5.159780,5.704813
30,0.500000,5.607985,6.346673,5.159780,5.704813
31,0.516667,5.616250,6.350288,5.163395,5.709978
32,0.533333,5.616250,6.350310,5.163395,5.709985
33,0.550000,5.616250,6.350310,5.163395,5.709985
34,0.566667,5.616250,6.350310,5.163395,5.709985
35,0.583333,5.616250,6.350310,5.163395,5.709985
36,0.600000,5.616250,6.350310,5.163395,5.709985
37,0.616667,5.616250,6.350310,5.163417,5.709992
38,0.633333,5.616250,6.350310,5.163417,5.709992
39,0.650000,5.616250,6.350310,5.163417,5.709992
40,0.666667,5.616250,6.350310,5.163417,5.709992
41,0.683333,5.616250,6.350310,5.163417,5.709992
42,0.700000,5.616250,6.350310,5.163417,5.709992
43,0.716667,5.616250,6.350310,5.163417,5.709992
44,0.733333,5.616250,6.350310,5.163417,5.709992
45,0.750000,5.616250,6.350310,5.163417,5.709992
46,0.766667,5.616250,6.350310,5.163417,5.709992
47,0.783333,5.616250,6.350310,5.163417,5.709992
48,0.800000,5.616250,6.350310,5.163417,5.709992
49,0.816667,5.616250,6.350310,5.163417,5.709992
50,0.833333,5.616250,6.350310,5.163417,5.709992
51,0.850000,5.616250,6.350310,5.163417,5.709992
52,0.866667,5.616250,6.356981,5.163417,5.712216
53,0.883333,5.622922,6.356981,5.163417,5.714440
54,0.900000,5.622922,6.356981,5.163417,5.714440
55,0.916667,5.622922,6.356981,5.163417,5.714440
56,0.933333,5.622922,6.356981,5.163417,5.714440
57,0.950000,5.622922,6.356981,5.163417,5.714440
58,0.966667,5.622922,6.356981,5.163417,5.714440
59,0.983333,5.622922,6.356981,5.163417,5.714440
60,1.000000,5.622922,6.356981,5.163417,5.714440
61,1.016667,5.623039,6.357098,5.163534,5.714557
62,1.033333,5.623039,6.357098,5.163534,5.714557
63,1.050000,5.623039,6.357098,5.163534,5.714557
64,1.066667,5.623039,6.357098,5.163534,5.714557
65,1.083333,5.623039,6.357098,5.163534,5.714557
66,1.100000,5.623039,6.357098,5.163534,5.714557
67,1.116667,5.623039,6.357098,5.163534,5.714557
68,1.133333,5.623039,6.357098,5.163534,5.714557
69,1.150000,5.623039,6.357098,5.163534,5.714557
70,1.166667,5.623039,6.357098,5.163534,5.714557
71,1.183333,5.623039,6.357098,5.163534,5.714557
72,1.200000,5.623039,6.357098,5.163534,5.714557
73,1.216667,5.623039,6.357098,5.163534,5.714557
74,1.233333,5.623039,6.357098,5.163534,5.714557
75,1.250000,5.623039,6.357098,5.163534,5.714557
76,1.266667,5.623039,6.357098,5.163534,5.714557
77,1.283333,5.623039,6.357098,5.163534,5.714557
78,1.300000,5.623039,6.357098,5.163534,5.714557
79,1.316667,5.623039,6.357098,5.163534,5.714557
80,1.333333,5.623039,6.357098,5.163534,5.714557
81,1.350000,5.623039,6.357098,5.163534,5.714557
82,1.366667,5.623039,6.357098,5.163534,5.714557
83,1.383333,5.623039,6.357098,5.163534,5.714557
84,1.400000,5.623039,6.357098,5.163534,5.714557
85,1.416667,5.623039,6.357098,5.163534,5.714557
86,1.433333,5.623039,6.357098,5.163534,5.714557
87,1.450000,5.623039,6.357098,5.163534,5.714557
88,1.466667,5.623039,6.357098,5.163534,5.714557
89,1.483333,5.623039,6.357098,5.163534,5.714557
90,1.500000,5.623039,6.357098,5.163534,5.714557
91,1.516667,5.631002,6.357098,5.171497,5.719866
92,1.533333,5.631002,6.357098,5.171497,5.719866
93,1.550000,5.631002,6.357098,5.171497,5.719866
94,1.566667,5.631002,6.357098,5.171497,5.719866
95,1.583333,5.631002,6.357098,5.171497,5.719866
96,1.600000,5.631002,6.357098,5.171497,5.719866
97,1.616667,5.631002,6.357098,5.171497,5.719866
98,1.633333,5.631002,6.357098,5.171497,5.719866
99,1.650000,5.631002,6.357098,5.171497,5.719866
100,1.666667,5.631002,6.357098,5.171497,5.719866
101,1.683333,5.631002,6.357098,5.171497,5.719866
102,1.700000,5.631002,6.357098,5.171497,5.719866
103,1.716667,5.631002,6.357098,5.171497,5.719866
104,1.733333,5.631002,6.357098,5.171497,5.719866
105,1.750000,5.631002,6.357098,5.171497,5.719866
106,1.766667,5.631002,6.357098,5.171497,5.719866
107,1.783333,5.631002,6.357098,5.171497,5.719866
108,1.800000,5.631002,6.357098,5.171497,5.719866
109,1.816667,5.631002,6.357098,5.171497,5.719866
110,1.833333,5.631002,6.357098,5.171497,5.719866
111,1.850000,5.631002,6.357098,5.171497,5.719866
112,1.866667,5.631002,6.357098,5.171497,5.719866
113,1.883333,5.631002,6.357098,5.171497,5.719866
114,1.900000,5.631002,6.357098,5.171497,5.719866
115,1.916667,5.631002,6.357098,5.171497,5.719866
116,1.933333,5.631002,6.357098,5.171497,5.719866
117,1.950000,5.631002,6.357098,5.171497,5.719866
118,1.966667,5.631002,6.357098,5.171497,5.719866
119,1.983333,5.631002,6.357098,5.171497,5.719866
120,2.000000,5.631002,6.357098,5.171497,5.719866
121,2.016667,5.631067,6.357164,5.171563,5.719931
122,2.033333,5.631067,6.357164,5.171563,5.719931
123,2.050000,5.631067,6.357164,5.171563,5.719931
124,2.066667,5.631067,6.357164,5.171563,5.719931
125,2.083333,5.631067,6.357164,5.171563,5.719931
126,2.100000,5.631067,6.357164,5.171563,5.719931
127,2.116667,5.631067,6.357164,5.171563,5.719931
128,2.133333,5.631067,6.357164,5.171563,5.719931
129,2.150000,5.631067,6.357164,5.171672,5.719968
130,2.166667,5.631067,6.357164,5.171672,5.719968
131,2.183333,5.631067,6.357164,5.171672,5.719968
132,2.200000,5.631067,6.357164,5.171672,5.719968
133,2.216667,5.631067,6.357164,5.171672,5.719968
134,2.233333,5.631067,6.357164,5.171672,5.719968
135,2.250000,5.631067,6.357164,5.171672,5.719968
136,2.266667,5.631067,6.357164,5.171672,5.719968
137,2.283333,5.631067,6.357164,5.171672,5.719968
138,2.300000,5.631067,6.357164,5.171672,5.719968
139,2.316667,5.631067,6.357164,5.171672,5.719968
140,2.333333,5.631067,6.357164,5.171672,5.719968
141,2.350000,5.631067,6.357164,5.171672,5.719968
142,2.366667,5.631067,6.357164,5.171672,5.719968
143,2.383333,5.631067,6.357164,5.171672,5.719968
144,2.400000,5.631067,6.357164,5.171672,5.719968
145,2.416667,5.631067,6.357164,5.171672,5.719968
146,2.433333,5.631067,6.357164,5.171672,5.719968
147,2.450000,5.631067,6.357164,5.171672,5.719968
