time_seconds,time_minutes,output_run1_avg,output_run2_avg,output_run3_avg,final_avg
0,0.000000,0.121831,0.121831,0.121831,0.121831
1,0.016667,1.701494,1.701494,1.701494,1.701494
2,0.033333,1.815009,1.815009,1.815009,1.815009
3,0.050000,1.821153,1.821153,1.821153,1.821153
4,0.066667,1.872306,1.872306,1.872306,1.872306
5,0.083333,1.872306,1.872306,1.872306,1.872306
6,0.100000,1.872306,1.872306,1.872306,1.872306
7,0.116667,1.872306,1.872306,1.872306,1.872306
8,0.133333,1.872306,1.872306,1.872306,1.872306
9,0.150000,1.872306,1.872306,1.872306,1.872306
10,0.166667,1.872306,1.872306,1.872306,1.872306
11,0.183333,1.872306,1.872306,1.872306,1.872306
12,0.200000,1.872306,1.872306,1.872306,1.872306
13,0.216667,1.872306,1.872306,1.872306,1.872306
14,0.233333,1.872306,1.872306,1.872306,1.872306
15,0.250000,1.872306,1.872306,1.872306,1.872306
16,0.266667,1.872306,1.872306,1.872306,1.872306
17,0.283333,1.872893,1.872893,1.872893,1.872893
18,0.300000,1.872893,1.872893,1.872893,1.872893
19,0.316667,1.872893,1.872893,1.872893,1.872893
20,0.333333,1.872893,1.872893,1.872893,1.872893
21,0.350000,1.872893,1.872893,1.872893,1.872893
22,0.366667,1.872893,1.872893,1.872893,1.872893
23,0.383333,1.872893,1.872893,1.872893,1.872893
24,0.400000,1.872893,1.872893,1.872893,1.872893
25,0.416667,1.872893,1.872893,1.872893,1.872893
26,0.433333,1.872893,1.872893,1.872893,1.872893
27,0.450000,1.872893,1.872893,1.872893,1.872893
28,0.466667,1.872893,1.872893,1.872893,1.872893
29,0.483333,1.872893,1.872893,1.872893,1.872893
30,0.500000,1.872893,1.872893,1.872893,1.872893
31,0.516667,1.872893,1.872893,1.872893,1.872893
32,0.533333,1.872893,1.872893,1.872893,1.872893
33,0.550000,1.872893,1.872893,1.872893,1.872893
34,0.566667,1.872893,1.872893,1.872893,1.872893
35,0.583333,1.872893,1.872893,1.872893,1.872893
36,0.600000,1.872893,1.872893,1.872893,1.872893
37,0.616667,1.872893,1.872893,1.872893,1.872893
38,0.633333,1.872893,1.872893,1.872893,1.872893
39,0.650000,1.872893,1.872893,1.872893,1.872893
40,0.666667,1.872893,1.872893,1.872893,1.872893
41,0.683333,1.872893,1.872893,1.872893,1.872893
42,0.700000,1.872893,1.872893,1.872893,1.872893
43,0.716667,1.872893,1.872893,1.872893,1.872893
44,0.733333,1.872893,1.872893,1.872893,1.872893
45,0.750000,1.872893,1.872893,1.872893,1.872893
46,0.766667,1.872893,1.872893,1.872893,1.872893
47,0.783333,1.872893,1.872893,1.872893,1.872893
48,0.800000,1.872893,1.872893,1.872893,1.872893
49,0.816667,1.872893,1.872893,1.872893,1.872893
50,0.833333,1.872893,1.872893,1.872893,1.872893
51,0.850000,1.872893,1.872893,1.872893,1.872893
52,0.866667,1.872893,1.872893,1.872893,1.872893
53,0.883333,1.872893,1.872893,1.872893,1.872893
54,0.900000,1.872893,1.872893,1.872893,1.872893
55,0.916667,1.872893,1.872893,1.872893,1.872893
56,0.933333,1.872893,1.872893,1.872893,1.872893
57,0.950000,1.872893,1.872893,1.872893,1.872893
58,0.966667,1.872893,1.872893,1.872893,1.872893
59,0.983333,1.872893,1.872893,1.872893,1.872893
60,1.000000,1.872893,1.872893,1.872893,1.872893
61,1.016667,1.872893,1.872893,1.872893,1.872893
62,1.033333,1.872893,1.872893,1.872893,1.872893
63,1.050000,1.872893,1.872893,1.872893,1.872893
64,1.066667,1.872893,1.872893,1.872893,1.872893
65,1.083333,1.872893,1.872893,1.872893,1.872893
66,1.100000,1.874317,1.874317,1.874317,1.874317
67,1.116667,1.874317,1.874317,1.874317,1.874317
68,1.133333,1.874317,1.874317,1.874317,1.874317
69,1.150000,1.874317,1.874317,1.874317,1.874317
70,1.166667,1.874317,1.874317,1.874317,1.874317
71,1.183333,1.874317,1.874317,1.874317,1.874317
72,1.200000,1.874317,1.874317,1.874317,1.874317
73,1.216667,1.874317,1.874317,1.874317,1.874317
74,1.233333,1.874317,1.874317,1.874317,1.874317
75,1.250000,1.874317,1.874317,1.874317,1.874317
76,1.266667,1.874317,1.874317,1.874317,1.874317
77,1.283333,1.874317,1.874317,1.874317,1.874317
78,1.300000,1.874317,1.874317,1.874317,1.874317
79,1.316667,1.874317,1.874317,1.874317,1.874317
80,1.333333,1.874317,1.874317,1.874317,1.874317
81,1.350000,1.874317,1.874317,1.874317,1.874317
82,1.366667,1.874317,1.874317,1.874317,1.874317
83,1.383333,1.874317,1.874317,1.874317,1.874317
84,1.400000,1.874317,1.874317,1.874317,1.874317
85,1.416667,1.874317,1.874317,1.874317,1.874317
86,1.433333,1.874317,1.874317,1.874317,1.874317
87,1.450000,1.874317,1.874317,1.874317,1.874317
88,1.466667,1.874317,1.874317,1.874317,1.874317
89,1.483333,1.874317,1.874317,1.874317,1.874317
90,1.500000,1.874317,1.874317,1.874317,1.874317
91,1.516667,1.874317,1.874317,1.874317,1.874317
92,1.533333,1.874317,1.874317,1.874317,1.874317
93,1.550000,1.874317,1.874317,1.874317,1.874317
94,1.566667,1.874317,1.874317,1.874317,1.874317
95,1.583333,1.874317,1.874317,1.874317,1.874317
96,1.600000,1.874317,1.874317,1.874317,1.874317
97,1.616667,1.874317,1.874317,1.874317,1.874317
98,1.633333,1.874317,1.874317,1.874317,1.874317
99,1.650000,1.874317,1.874317,1.874317,1.874317
100,1.666667,1.874317,1.874317,1.874317,1.874317
101,1.683333,1.874317,1.874317,1.874317,1.874317
102,1.700000,1.874317,1.874317,1.874317,1.874317
103,1.716667,1.874317,1.874317,1.874317,1.874317
104,1.733333,1.874317,1.874317,1.874317,1.874317
105,1.750000,1.874317,1.874317,1.874317,1.874317
106,1.766667,1.874317,1.874317,1.874317,1.874317
107,1.783333,1.874317,1.874317,1.874317,1.874317
108,1.800000,1.874317,1.874317,1.874317,1.874317
109,1.816667,1.874317,1.874317,1.874317,1.874317
110,1.833333,1.874317,1.874317,1.874317,1.874317
111,1.850000,1.874317,1.874317,1.874317,1.874317
112,1.866667,1.874317,1.874317,1.874317,1.874317
113,1.883333,1.874317,1.874317,1.874317,1.874317
114,1.900000,1.874317,1.874317,1.874317,1.874317
115,1.916667,1.874317,1.874317,1.874317,1.874317
116,1.933333,1.874317,1.874317,1.874317,1.874317
117,1.950000,1.874317,1.874317,1.874317,1.874317
118,1.966667,1.874317,1.874317,1.874317,1.874317
119,1.983333,1.874317,1.874317,1.874317,1.874317
120,2.000000,1.874317,1.874317,1.874317,1.874317
121,2.016667,1.874317,1.874317,1.874317,1.874317
122,2.033333,1.874317,1.874317,1.874317,1.874317
123,2.050000,1.874317,1.874317,1.874317,1.874317
124,2.066667,1.874317,1.874317,1.874317,1.874317
125,2.083333,1.874317,1.874317,1.874317,1.874317
126,2.100000,1.874317,1.874317,1.874317,1.874317
127,2.116667,1.874317,1.874317,1.874317,1.874317
128,2.133333,1.874317,1.874317,1.874317,1.874317
129,2.150000,1.874317,1.874317,1.874317,1.874317
130,2.166667,1.874317,1.874317,1.874317,1.874317
131,2.183333,1.874317,1.874317,1.874317,1.874317
132,2.200000,1.874317,1.874317,1.874317,1.874317
133,2.216667,1.874317,1.874317,1.874317,1.874317
134,2.233333,1.874317,1.874317,1.874317,1.874317
135,2.250000,1.874317,1.874317,1.874317,1.874317
136,2.266667,1.874317,1.874317,1.874317,1.874317
137,2.283333,1.874317,1.874317,1.874317,1.874317
138,2.300000,1.874317,1.874317,1.874317,1.874317
139,2.316667,1.874317,1.874317,1.874317,1.874317
140,2.333333,1.874317,1.874317,1.874317,1.874317
141,2.350000,1.874317,1.874317,1.874317,1.874317
142,2.366667,1.874317,1.874317,1.874317,1.874317
143,2.383333,1.874317,1.874317,1.874317,1.874317
144,2.400000,1.874317,1.874317,1.874317,1.874317
145,2.416667,1.874317,1.874317,1.874317,1.874317
146,2.433333,1.874317,1.874317,1.874317,1.874317
147,2.450000,1.874317,1.874317,1.874317,1.874317
148,2.466667,1.874317,1.874317,1.874317,1.874317
149,2.483333,1.874317,1.874317,1.874317,1.874317
150,2.500000,1.874317,1.874317,1.874317,1.874317
151,2.516667,1.874317,1.874317,1.874317,1.874317
152,2.533333,1.874317,1.874317,1.874317,1.874317
153,2.550000,1.874317,1.874317,1.874317,1.874317
154,2.566667,1.874317,1.874317,1.874317,1.874317
155,2.583333,1.874317,1.874317,1.874317,1.874317
156,2.600000,1.874317,1.874317,1.874317,1.874317
157,2.616667,1.874317,1.874317,1.874317,1.874317
