time_seconds,time_minutes,output_run1_avg,output_run2_avg,output_run3_avg,final_avg
0,0.000000,0.276099,0.405500,0.426508,0.369369
1,0.016667,4.611532,4.646102,4.677798,4.645144
2,0.033333,4.753842,4.754676,4.751128,4.753215
3,0.050000,4.765132,4.756800,4.752767,4.758233
4,0.066667,4.816307,4.809137,4.804702,4.810049
5,0.083333,4.870807,4.813855,4.810709,4.831790
6,0.100000,4.879650,4.890279,4.818834,4.862921
7,0.116667,4.884211,4.894930,4.820279,4.866473
8,0.133333,4.921879,4.894930,4.821686,4.879498
9,0.150000,4.969890,4.917113,4.950058,4.945687
10,0.166667,5.465429,5.391514,5.219590,5.358844
11,0.183333,6.248257,5.686888,6.601821,6.178989
12,0.200000,6.375499,5.751876,6.751406,6.292927
13,0.216667,6.433843,5.764319,6.840676,6.346279
14,0.233333,6.473811,5.885802,6.845506,6.401706
15,0.250000,6.493770,5.887028,6.863148,6.414649
16,0.266667,6.496291,5.982593,6.872904,6.450596
17,0.283333,6.496422,5.983755,6.873294,6.451157
18,0.300000,6.496422,5.983799,6.874001,6.451407
19,0.316667,6.496422,5.988449,6.876478,6.453783
20,0.333333,6.597252,6.062317,6.879631,6.513067
21,0.350000,6.650006,6.131907,6.936852,6.572922
22,0.366667,6.786811,6.192131,6.976613,6.651851
23,0.383333,6.820656,6.265424,7.096219,6.727433
24,0.400000,6.823037,6.267394,7.105741,6.732057
25,0.416667,6.845129,6.267394,7.186478,6.766334
26,0.433333,6.845889,6.270215,7.188277,6.768127
27,0.450000,6.846649,6.309743,7.188277,6.781556
28,0.466667,6.846649,6.312068,7.188277,6.782331
29,0.483333,6.847100,6.312068,7.215859,6.791676
30,0.500000,6.870351,6.360206,7.222030,6.817529
31,0.516667,6.901506,6.363821,7.227452,6.830926
32,0.533333,6.960502,6.365500,7.237409,6.854470
33,0.550000,7.094686,6.375974,7.295883,6.922181
34,0.566667,7.191112,6.383830,7.379538,6.984827
35,0.583333,7.208038,6.385482,7.432109,7.008543
36,0.600000,7.208038,6.385482,7.437279,7.010267
37,0.616667,7.219981,6.407824,7.437279,7.021695
38,0.633333,7.219981,6.418943,7.449021,7.029315
39,0.650000,7.225327,6.418943,7.455496,7.033255
40,0.666667,7.227566,6.418943,7.458815,7.035108
41,0.683333,7.227566,6.418943,7.468773,7.038427
42,0.700000,7.255700,6.421806,7.475592,7.051033
43,0.716667,7.256722,6.422023,7.475592,7.051446
44,0.733333,7.256722,6.509424,7.491950,7.086032
45,0.750000,7.267632,6.512073,7.503897,7.094534
46,0.766667,7.270986,6.513880,7.549067,7.111311
47,0.783333,7.275116,6.528608,7.564740,7.122821
48,0.800000,7.275116,6.530263,7.567223,7.124201
49,0.816667,7.275116,6.535609,7.567223,7.125983
50,0.833333,7.275756,6.541344,7.577656,7.131585
51,0.850000,7.275836,6.542507,7.582103,7.133482
52,0.866667,7.280530,6.547179,7.584646,7.137452
53,0.883333,7.280530,6.547179,7.584646,7.137452
54,0.900000,7.290576,6.547179,7.584646,7.140800
55,0.916667,7.307172,6.551458,7.595276,7.151302
56,0.933333,7.310372,6.558006,7.669680,7.179353
57,0.950000,7.315022,6.577888,7.880160,7.257690
58,0.966667,7.323733,6.590319,7.950491,7.288181
59,0.983333,7.336357,6.590319,7.950615,7.292430
60,1.000000,7.366496,6.590319,7.950615,7.302477
61,1.016667,7.366496,6.590406,7.950732,7.302545
62,1.033333,7.366496,6.592226,7.950732,7.303151
63,1.050000,7.368224,6.592226,8.010370,7.323606
64,1.066667,7.399763,7.328431,8.010781,7.579658
65,1.083333,7.591450,7.329127,8.062028,7.660868
66,1.100000,7.599398,7.329127,8.064824,7.664450
67,1.116667,7.599398,7.329127,8.095669,7.674731
68,1.133333,7.621867,7.370196,8.095776,7.695946
69,1.150000,7.682831,7.397472,8.095776,7.725359
70,1.166667,7.682831,7.406848,8.144521,7.744733
71,1.183333,8.427413,7.427912,8.144521,7.999949
72,1.200000,8.427413,7.610124,8.257693,8.098410
73,1.216667,8.428091,7.628268,8.277692,8.111350
74,1.233333,8.428091,7.668779,8.304552,8.133807
75,1.250000,8.428851,7.671382,8.341396,8.147210
76,1.266667,8.431182,7.671382,8.341396,8.147987
77,1.283333,8.431182,7.679256,8.341514,8.150651
78,1.300000,8.431712,7.679690,8.341568,8.150990
79,1.316667,8.431712,7.699979,8.341621,8.157771
80,1.333333,8.441685,7.722408,8.341621,8.168571
81,1.350000,8.441714,7.722408,8.355102,8.173075
82,1.366667,8.442923,7.722408,8.355231,8.173521
83,1.383333,8.442923,7.727346,8.355490,8.175253
84,1.400000,8.450860,7.728988,8.355490,8.178446
85,1.416667,8.450860,7.728988,8.360666,8.180171
86,1.433333,8.450860,7.728988,8.397869,8.192572
87,1.450000,8.450860,7.730212,8.397869,8.192980
88,1.466667,8.450860,7.730212,8.397869,8.192980
89,1.483333,8.452311,7.759004,8.397869,8.203061
90,1.500000,8.452493,7.815980,8.399260,8.222578
91,1.516667,8.452493,7.815980,8.403803,8.224092
92,1.533333,8.452493,7.815980,8.450334,8.239602
93,1.550000,8.455648,7.815980,8.455085,8.242237
94,1.566667,8.455648,7.816593,8.455085,8.242442
95,1.583333,8.470376,7.816593,8.455085,8.247351
96,1.600000,8.470376,7.816593,8.455085,8.247351
97,1.616667,8.470376,7.816593,8.455085,8.247351
98,1.633333,8.470582,7.816593,8.455085,8.247420
99,1.650000,8.470582,7.816593,8.455085,8.247420
100,1.666667,8.470881,7.848365,8.455085,8.258110
101,1.683333,8.470881,7.849235,8.455085,8.258400
102,1.700000,8.472481,7.849235,8.455085,8.258934
103,1.716667,8.481419,7.849235,8.455085,8.261913
104,1.733333,8.481419,7.853372,8.460866,8.265219
105,1.750000,8.495454,7.853372,8.460866,8.269898
106,1.766667,8.507679,7.856305,8.460866,8.274950
107,1.783333,8.507679,7.856305,8.460866,8.274950
108,1.800000,8.507679,7.870591,8.492761,8.290344
109,1.816667,8.507679,7.870591,8.495411,8.291227
110,1.833333,8.507679,7.870650,8.500833,8.293054
111,1.850000,8.507679,7.870650,8.500833,8.293054
112,1.866667,8.507679,7.874347,8.500833,8.294286
113,1.883333,8.507679,7.874347,8.500833,8.294286
114,1.900000,8.507708,7.874347,8.502265,8.294773
115,1.916667,8.513131,7.874376,8.527305,8.304937
116,1.933333,8.513131,7.874376,8.540910,8.309472
117,1.950000,8.513131,7.874376,8.540910,8.309472
118,1.966667,8.545471,7.874376,8.540910,8.320252
119,1.983333,8.545471,7.876701,8.549621,8.323931
120,2.000000,8.545471,7.876701,8.549621,8.323931
121,2.016667,8.545471,7.876701,8.549621,8.323931
122,2.033333,8.548790,7.876701,8.551347,8.325613
123,2.050000,8.565473,7.884638,8.704806,8.384973
124,2.066667,8.565473,7.884638,8.786187,8.412099
125,2.083333,8.569580,7.884857,8.816799,8.423745
126,2.100000,8.569580,7.884857,8.816799,8.423745
127,2.116667,8.569580,7.884857,8.818504,8.424314
128,2.133333,8.569580,7.884857,8.818504,8.424314
129,2.150000,8.569645,7.884857,9.000102,8.484868
130,2.166667,8.574676,7.891528,9.001265,8.489156
131,2.183333,8.574676,7.891528,9.017353,8.494519
132,2.200000,8.574676,7.891528,9.089300,8.518501
133,2.216667,8.574676,7.918730,9.089300,8.527569
134,2.233333,8.574676,7.918730,9.089300,8.527569
135,2.250000,8.574676,7.918730,9.089300,8.527569
136,2.266667,8.574676,7.918730,9.089388,8.527598
137,2.283333,8.574676,7.918730,9.089388,8.527598
138,2.300000,8.574676,7.918730,9.089388,8.527598
139,2.316667,8.575620,7.918730,9.091713,8.528688
140,2.333333,8.575620,7.918730,9.091713,8.528688
141,2.350000,8.575620,7.918730,9.091779,8.528710
142,2.366667,8.575620,7.922270,9.096744,8.531545
143,2.383333,8.575620,7.922270,9.096744,8.531545
144,2.400000,8.575664,7.927692,9.096744,8.533367
145,2.416667,8.575664,7.927692,9.096744,8.533367
146,2.433333,8.575664,7.928198,9.096744,8.533535
147,2.450000,8.575664,7.928198,9.096744,8.533535
148,2.466667,8.575664,7.928198,9.096744,8.533535
149,2.483333,8.575664,7.928198,9.096744,8.533535
150,2.500000,8.575799,7.928198,9.096744,8.533580
151,2.516667,8.575799,7.928198,9.096744,8.533580
152,2.533333,8.575799,7.928198,9.096744,8.533580
153,2.550000,8.575799,7.928198,9.096773,8.533590
154,2.566667,8.575799,7.928198,9.096830,8.533609
155,2.583333,8.575799,7.929861,9.096830,8.534163
156,2.600000,8.576871,7.930236,9.111943,8.539683
157,2.616667,8.592008,7.930236,9.111943,8.544729
158,2.633333,8.592008,7.930236,9.111943,8.544729
159,2.650000,8.597163,7.930236,9.111943,8.546448
160,2.666667,8.597823,7.930236,9.111943,8.546668
161,2.683333,8.599379,7.930236,9.116522,8.548712
162,2.700000,8.599882,7.930302,9.116522,8.548902
163,2.716667,8.599904,7.935224,9.156050,8.563726
