app_name,reached_methods,percentage_reached
Addi,10,20.0
a2dpvolume,16,32.0
aGrep,14,28.000000000000004
aLogCat,20,40.0
aagtl,16,32.0
aard2,21,42.0
adsdroid,30,60.0
alarmclock,14,28.000000000000004
amazed,20,40.0
anycut,15,30.0
appcachecleaner,23,46.0
autoanswer,11,22.0
battery_circle,24,48.0
batterydog,19,38.0
bites,10,20.0
blokish,10,20.0
bomber,19,38.0
bookcatalogue,10,20.0
countdowntimer,19,38.0
dalvikexplorer,14,28.000000000000004
dialer2,17,34.0
divide_and_conquer,21,42.0
frozenbubble,18,36.0
gestures,12,24.0
hotdeath,32,64.0
importcontacts,14,28.000000000000004
jamendo,13,26.0
k9mail,10,20.0
learn_music_notes,19,38.0
lockpatterngenerator,25,50.0
lolcatbuilder,16,32.0
manpages,27,54.0
mileage,12,24.0
mininoteviewer,13,26.0
mirrored,21,42.0
multismssender,14,28.000000000000004
munchlife,13,26.0
musicplayer,24,48.0
mylock,11,22.0
nectroid,10,20.0
netcounter,17,34.0
passwordmaker,17,34.0
quicksettings,18,36.0
ringdroid,21,42.0
sanity,12,24.0
swiftp,18,36.0
syncmypix,14,28.000000000000004
tippytipper,35,70.0
tomdroid,11,22.0
translate,0,0.0
weight_chart,14,28.000000000000004
whohasmystuff,18,36.0
wikipedia,29,57.99999999999999
worldclock,23,46.0
yahtzee,12,24.0
zooborns,19,38.0
Average,,34.11
