app_name,reached_methods,percentage_reached
a2dpvolume,7,14.67
aagtl,7,14.67
aard2,12,24.00
Addi,0,0.00
adsdroid,0,0.00
aGrep,0,0.00
alarmclock,2,5.33
aLogCat,9,18.00
amazed,0,0.00
anycut,0,0.00
appcachecleaner,12,24.00
autoanswer,3,6.00
battery_circle,4,9.33
batterydog,4,8.00
bites,1,2.00
blokish,8,16.00
bomber,10,20.00
bookcatalogue,0,0.00
countdowntimer,6,12.00
dalvikexplorer,1,2.00
dialer2,10,20.00
divide_and_conquer,9,18.67
frozenbubble,8,16.00
gestures,5,10.00
hotdeath,0,0.00
importcontacts,1,2.00
jamendo,0,0.00
k9mail,1,2.00
learn_music_notes,0,0.00
lockpatterngenerator,17,34.00
lolcatbuilder,3,6.00
manpages,6,12.00
mileage,2,4.00
mininoteviewer,1,2.00
mirrored,13,26.00
multismssender,2,4.00
munchlife,3,6.67
musicplayer,9,18.67
mylock,1,2.00
nectroid,0,0.00
netcounter,4,8.67
passwordmaker,5,10.00
quicksettings,8,17.33
ringdroid,0,0.00
sanity,2,4.00
swiftp,4,8.00
syncmypix,1,3.33
tippytipper,11,22.00
tomdroid,2,4.00
translate,8,16.00
weight_chart,3,7.33
whohasmystuff,2,4.00
wikipedia,15,30.00
worldclock,12,25.33
yahtzee,1,2.00
zooborns,10,20.67
Overall Average,,9.69
