app_name,reached_methods,percentage_reached
a2dpvolume,7,14.000000000000002
aagtl,7,14.000000000000002
aard2,12,24.0
Addi,0,0.0
adsdroid,0,0.0
aGrep,0,0.0
alarmclock,3,6.0
aLogCat,9,18.0
amazed,0,0.0
anycut,0,0.0
appcachecleaner,12,24.0
autoanswer,3,6.0
battery_circle,0,0.0
batterydog,4,8.0
bites,1,2.0
blokish,8,16.0
bomber,10,20.0
bookcatalogue,0,0.0
countdowntimer,6,12.0
dalvikexplorer,1,2.0
dialer2,10,20.0
divide_and_conquer,14,28.000000000000004
frozenbubble,8,16.0
gestures,5,10.0
hotdeath,0,0.0
importcontacts,1,2.0
jamendo,0,0.0
k9mail,1,2.0
learn_music_notes,0,0.0
lockpatterngenerator,17,34.0
lolcatbuilder,3,6.0
manpages,6,12.0
mileage,2,4.0
mininoteviewer,1,2.0
mirrored,13,26.0
multismssender,2,4.0
munchlife,5,10.0
musicplayer,11,22.0
mylock,1,2.0
nectroid,0,0.0
netcounter,3,6.0
passwordmaker,5,10.0
quicksettings,8,16.0
ringdroid,0,0.0
sanity,2,4.0
swiftp,4,8.0
syncmypix,2,4.0
tippytipper,11,22.0
tomdroid,2,4.0
translate,8,16.0
weight_chart,3,6.0
whohasmystuff,2,4.0
wikipedia,13,26.0
worldclock,12,24.0
yahtzee,1,2.0
zooborns,10,20.0
Average,,9.61
