app_name,real_time(s)
a2dpvolume,6.800830342
aagtl,137.542589001
aard2,13.899787402
Addi,7.553918617
adsdroid,4.816230272
aGrep,3.190187148
alarmclock,2.028919439
aLogCat,11.253886285
amazed,1.959153073
anycut,1.549530153
appcachecleaner,9.571305338
autoanswer,1.482885445
battery_circle,1.914454141
batterydog,1.805243609
bites,3.431142539
blokish,124.710483150
bomber,1.779938348
bookcatalogue,148.424196585
countdowntimer,2.222414531
dalvikexplorer,7.942412529
dialer2,2.338926117
divide_and_conquer,2.957162242
frozenbubble,258.751081821
gestures,6.477960523
hotdeath,254.459240259
importcontacts,2.374643737
jamendo,5.620847370
k9mail,145.925187318
learn_music_notes,2.293565080
lockpatterngenerator,2.084259760
lolcatbuilder,1.811078430
manpages,1.925849606
mileage,250.224867804
mininoteviewer,244.805420979
mirrored,30.898992895
multismssender,2.278380215
munchlife,1.724280078
musicplayer,4.779186721
mylock,1.975593456
nectroid,3.679507283
netcounter,4.308508518
passwordmaker,8.778755911
quicksettings,3.049430160
ringdroid,23.774197012
sanity,7.453122940
swiftp,7.478778616
syncmypix,8.947277624
tippytipper,4.843380582
tomdroid,5.131125504
translate,3.044154701
weight_chart,2.616439875
whohasmystuff,6.144283739
wikipedia,705.556746407
worldclock,2.531265889
yahtzee,1.834716910
zooborns,2.713567887
