app_name,reached_methods,percentage_reached
a2dpvolume,9,18.00
aagtl,8,16.00
aard2,13,26.00
Addi,0,0.00
adsdroid,26,52.00
aGrep,4,8.67
alarmclock,6,12.00
aLogCat,10,21.33
amazed,1,2.67
anycut,0,0.00
appcachecleaner,16,32.00
autoanswer,3,6.00
battery_circle,14,28.00
batterydog,18,37.33
bites,1,2.00
blokish,9,18.00
bomber,10,20.00
bookcatalogue,0,1.33
countdowntimer,17,34.00
dalvikexplorer,1,2.00
dialer2,13,27.33
divide_and_conquer,1,2.00
frozenbubble,9,18.00
gestures,7,14.00
hotdeath,28,56.67
importcontacts,19,38.67
jamendo,1,2.00
k9mail,0,1.33
learn_music_notes,9,18.00
lockpatterngenerator,22,44.67
lolcatbuilder,3,6.00
manpages,9,18.00
mileage,3,6.00
mininoteviewer,2,5.33
mirrored,13,26.00
multismssender,5,10.67
munchlife,5,10.00
musicplayer,12,25.33
mylock,1,2.00
nectroid,8,17.33
netcounter,6,12.00
passwordmaker,5,10.00
quicksettings,10,20.00
ringdroid,10,20.67
sanity,1,2.67
swiftp,4,8.00
syncmypix,5,10.00
tippytipper,30,60.00
tomdroid,7,14.00
translate,0,0.00
weight_chart,3,6.00
whohasmystuff,9,18.00
wikipedia,12,25.33
worldclock,15,30.00
yahtzee,7,15.33
zooborns,10,20.00
Overall Average,,17.12
