app_name,reached_methods,percentage_reached
a2dpvolume,9,18.0
aagtl,8,16.0
aard2,12,24.0
Addi,0,0.0
adsdroid,26,52.0
aGrep,7,14.000000000000002
alarmclock,6,12.0
aLogCat,10,20.0
amazed,2,4.0
anycut,0,0.0
appcachecleaner,16,32.0
autoanswer,3,6.0
battery_circle,14,28.000000000000004
batterydog,6,12.0
bites,1,2.0
blokish,9,18.0
bomber,10,20.0
bookcatalogue,0,0.0
countdowntimer,20,40.0
dalvikexplorer,1,2.0
dialer2,14,28.000000000000004
divide_and_conquer,1,2.0
frozenbubble,9,18.0
gestures,7,14.000000000000002
hotdeath,27,54.0
importcontacts,15,30.0
jamendo,1,2.0
k9mail,1,2.0
learn_music_notes,9,18.0
lockpatterngenerator,23,46.0
lolcatbuilder,3,6.0
manpages,15,30.0
mileage,2,4.0
mininoteviewer,1,2.0
mirrored,13,26.0
multismssender,8,16.0
munchlife,5,10.0
musicplayer,13,26.0
mylock,1,2.0
nectroid,9,18.0
netcounter,8,16.0
passwordmaker,5,10.0
quicksettings,10,20.0
ringdroid,11,22.0
sanity,1,2.0
swiftp,4,8.0
syncmypix,5,10.0
tippytipper,29,57.99999999999999
tomdroid,8,16.0
translate,0,0.0
weight_chart,3,6.0
whohasmystuff,9,18.0
wikipedia,13,26.0
worldclock,15,30.0
yahtzee,2,4.0
zooborns,10,20.0
Average,,16.79
