app_name,reached_methods,percentage_reached
a2dpvolume,9,18.0
aagtl,8,16.0
aard2,12,24.0
Addi,0,0.0
adsdroid,26,52.0
aGrep,3,6.0
alarmclock,6,12.0
aLogCat,12,24.0
amazed,2,4.0
anycut,0,0.0
appcachecleaner,16,32.0
autoanswer,3,6.0
battery_circle,14,28.000000000000004
batterydog,21,42.0
bites,1,2.0
blokish,9,18.0
bomber,10,20.0
bookcatalogue,1,2.0
countdowntimer,11,22.0
dalvikexplorer,1,2.0
dialer2,14,28.000000000000004
divide_and_conquer,1,2.0
frozenbubble,9,18.0
gestures,7,14.000000000000002
hotdeath,29,57.99999999999999
importcontacts,24,48.0
jamendo,1,2.0
k9mail,0,0.0
learn_music_notes,9,18.0
lockpatterngenerator,22,44.0
lolcatbuilder,3,6.0
manpages,6,12.0
mileage,5,10.0
mininoteviewer,3,6.0
mirrored,13,26.0
multismssender,6,12.0
munchlife,5,10.0
musicplayer,12,24.0
mylock,1,2.0
nectroid,9,18.0
netcounter,5,10.0
passwordmaker,5,10.0
quicksettings,10,20.0
ringdroid,10,20.0
sanity,2,4.0
swiftp,4,8.0
syncmypix,6,12.0
tippytipper,31,62.0
tomdroid,6,12.0
translate,0,0.0
weight_chart,3,6.0
whohasmystuff,9,18.0
wikipedia,12,24.0
worldclock,15,30.0
yahtzee,19,38.0
zooborns,10,20.0
Average,,17.54
