app_name,reached_methods,percentage_reached
a2dpvolume,4,8.0
aagtl,0,0.0
aard2,3,6.0
Addi,2,4.0
adsdroid,1,2.0
aGrep,15,30.0
alarmclock,3,6.0
aLogCat,15,30.0
amazed,13,26.0
anycut,9,18.0
appcachecleaner,2,4.0
autoanswer,4,8.0
battery_circle,0,0.0
batterydog,31,62.0
bites,2,4.0
blokish,2,4.0
bomber,12,24.0
bookcatalogue,4,8.0
countdowntimer,0,0.0
dalvikexplorer,0,0.0
dialer2,14,28.000000000000004
divide_and_conquer,0,0.0
frozenbubble,0,0.0
gestures,1,2.0
hotdeath,21,42.0
importcontacts,14,28.000000000000004
jamendo,4,8.0
k9mail,0,0.0
learn_music_notes,13,26.0
lockpatterngenerator,26,52.0
lolcatbuilder,0,0.0
manpages,0,0.0
mileage,5,10.0
mininoteviewer,4,8.0
mirrored,12,24.0
multismssender,0,0.0
munchlife,7,14.000000000000002
musicplayer,1,2.0
mylock,12,24.0
nectroid,3,6.0
netcounter,0,0.0
passwordmaker,8,16.0
quicksettings,8,16.0
ringdroid,7,14.000000000000002
sanity,7,14.000000000000002
swiftp,1,2.0
syncmypix,7,14.000000000000002
tippytipper,14,28.000000000000004
tomdroid,10,20.0
translate,0,0.0
weight_chart,0,0.0
whohasmystuff,9,18.0
wikipedia,1,2.0
worldclock,18,36.0
yahtzee,2,4.0
zooborns,11,22.0
Average,,12.93
