app_name,reached_methods,percentage_reached
a2dpvolume,7,14.000000000000002
aagtl,0,0.0
aard2,3,6.0
Addi,2,4.0
adsdroid,27,54.0
aGrep,15,30.0
alarmclock,11,22.0
aLogCat,0,0.0
amazed,13,26.0
anycut,9,18.0
appcachecleaner,5,10.0
autoanswer,4,8.0
battery_circle,0,0.0
batterydog,31,62.0
bites,2,4.0
blokish,4,8.0
bomber,10,20.0
bookcatalogue,0,0.0
countdowntimer,10,20.0
dalvikexplorer,0,0.0
dialer2,14,28.000000000000004
divide_and_conquer,0,0.0
frozenbubble,0,0.0
gestures,0,0.0
hotdeath,22,44.0
importcontacts,14,28.000000000000004
jamendo,1,2.0
k9mail,0,0.0
learn_music_notes,11,22.0
lockpatterngenerator,0,0.0
lolcatbuilder,8,16.0
manpages,0,0.0
mileage,0,0.0
mininoteviewer,12,24.0
mirrored,13,26.0
multismssender,5,10.0
munchlife,0,0.0
musicplayer,3,6.0
mylock,12,24.0
nectroid,11,22.0
netcounter,0,0.0
passwordmaker,6,12.0
quicksettings,0,0.0
ringdroid,0,0.0
sanity,6,12.0
swiftp,0,0.0
syncmypix,5,10.0
tippytipper,23,46.0
tomdroid,12,24.0
translate,11,22.0
weight_chart,0,0.0
whohasmystuff,6,12.0
wikipedia,0,0.0
worldclock,19,38.0
yahtzee,2,4.0
zooborns,11,22.0
Average,,13.57
