app_name,reached_methods,percentage_reached
a2dpvolume,5,11.33
aagtl,0,0.00
aard2,3,6.67
Addi,2,4.67
adsdroid,9,18.67
aGrep,14,29.33
alarmclock,7,14.67
aLogCat,5,10.00
amazed,13,26.00
anycut,6,12.00
appcachecleaner,2,5.33
autoanswer,4,8.00
battery_circle,0,0.00
batterydog,31,62.00
bites,2,4.67
blokish,4,8.00
bomber,10,21.33
bookcatalogue,2,4.00
countdowntimer,6,13.33
dalvikexplorer,0,0.00
dialer2,14,28.00
divide_and_conquer,0,0.00
frozenbubble,0,0.00
gestures,0,1.33
hotdeath,18,36.67
importcontacts,17,35.33
jamendo,1,3.33
k9mail,0,0.00
learn_music_notes,12,24.67
lockpatterngenerator,9,18.67
lolcatbuilder,2,5.33
manpages,4,8.67
mileage,2,5.33
mininoteviewer,10,21.33
mirrored,12,24.67
multismssender,3,7.33
munchlife,2,4.67
musicplayer,1,2.67
mylock,8,16.00
nectroid,4,9.33
netcounter,0,0.00
passwordmaker,6,12.67
quicksettings,5,10.67
ringdroid,5,10.00
sanity,6,12.00
swiftp,0,0.67
syncmypix,6,12.67
tippytipper,13,26.00
tomdroid,12,25.33
translate,8,16.67
weight_chart,0,0.00
whohasmystuff,7,15.33
wikipedia,0,0.67
worldclock,18,36.67
yahtzee,1,3.33
zooborns,11,22.00
Overall Average,,12.82
