App name,Analysis Time,SR,Average paths per method,RR
IPTV Player,198.03,76.47%,1.0,76.92%
PictureThis,101.76,78.57%,1.0,63.63%
AliExpress,177.19,53.33%,1.0,37.5%
Alibaba.com,116.42,56.25%,1.0,55.55%
Amazon Shopping,146.77,52.94%,1.0,55.55%
Too Good To Go,109.01,22.22%,1.0,50%
Blood Sugar & Diabetes Tracker,121.60,56.25%,1.0,66.66%
Learna AI,52.96,75.00%,1.0,80%
Discord,66.80,30.77%,1.0,100%
Duolingo,241.39,91.67%,1.0,81.81%
Satellite View,136.03,13.33%,1.0,100%
Gauth,141.25,92.86%,1.0,84.61%
Temu,146.43,77.78%,1.0,42.85%
Facebook,1936.39,57.89%,1.0,45.45%
Messenger,945.75,33.33%,1.0,40%
QR & Barcode Scanner,29.97,100.00%,1.0,100%
Instagram,2238.69,30.00%,1.0,50%
TheFork,154.40,30.77%,1.0,75%
MMusic,115.39,71.43%,1.0,60%
ReelShort,187.13,93.33%,1.0,40%
"All Recovery - Photos, Videos",73.12,83.33%,1.0,100%
ChatGPT,174.49,77.78%,1.0,42.85%
Televizo,71.13,90.00%,1.0,44.44%
PDF Viewer&Scanner,75.99,100.00%,1.0,80%
Pinterest,250.20,35.71%,1.0,40%
Plant Parent,144.26,62.50%,1.0,70%
Photo Recover,185.83,53.33%,1.0,40%
Pocket FM,305.96,68.42%,1.0,46.15%
File Recovery - Photo Recovery,86.86,14.29%,1.0,100%
Diary Pro,123.17,7.69%,1.0,100%
Smart Switch,76.24,42.86%,1.0,100%
Snapchat,522.04,100.00%,1.0,25%
DramaBox,157.36,75.00%,1.0,50%
QR Scanner,21.79,71.43%,1.0,100%
TinyFun,145.58,85.71%,1.0,33.33%
Waze,185.07,72.73%,1.0,25%
Whatnot,379.73,63.64%,1.0,36.36%
TikTok,2179.35,58.82%,1.0,20%
SHEIN,323.41,61.11%,1.0,27.27%
Vinted,242.21,78.57%,1.0,27.27%
All PDF Reader,96.32,100.00%,1.0,100%
All Recovery:Photos & Videos,65.59,69.23%,1.0,100%
AI Cleaner,113.64,75.00%,1.0,100%
Video&Drama Player All Format,37.40,100.00%,1.0,25%
PDF Viewer For Android,137.87,26.67%,1.0,100%
Antivirus Toolkit,84.29,90.91%,1.0,30%
Cleaner Toolbox,64.35,100.00%,1.0,100%
Edge,181.52,30.77%,1.0,25%
Lite,3.24,50.00%,2.0,0%
Translate,73.60,28.57%,1.0,0%
,,,,
Average,278.90,62.03%,1.02,59.86%
