APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS,PoR
ai.metaverse.iptv.smartplayer.onlinetv,198.03225302696228,13/17,86,0,1.00,86,76.92
cn.danatech.xingseus,101.76260471343994,11/14,123,0,1.00,123,63.63
com.alibaba.aliexpresshd,177.18839192390442,8/15,84,0,1.00,84,37.5
com.alibaba.intl.android.apps.poseidon,116.42090058326721,9/16,31,0,1.00,31,55.55
com.amazon.mShop.android.shopping,146.7706220149994,9/17,264,0,1.00,264,55.55
com.app.tgtg,109.01340746879578,2/9,93,0,1.00,93,50
com.bloodsugar.diabetes.tracker.pro,121.59702897071838,9/16,10,0,1.00,10,66.66
com.codeway.aitutor,52.959709882736206,6/8,52,0,1.00,52,80
com.discord,66.80099201202393,4/13,5,0,1.00,5,100
com.duolingo,241.39060306549072,11/12,193,0,1.00,193,81.81
com.earthglobemap.livesatellite.gps,136.02929282188416,2/15,16,0,1.00,16,100
com.education.android.h.intelligence,141.24874138832092,13/14,112,0,1.00,112,84.61
com.einnovation.temu,146.42901587486267,7/9,14,0,1.00,14,42.85
com.facebook.katana,1936.3867862224579,11/19,78,0,1.00,78,45.45
com.facebook.orca,945.7457976341248,5/15,69,0,1.00,69,40
com.gamma.scan,29.97079372406006,6/6,53,0,1.00,53,100
com.instagram.android,2238.685166120529,6/20,164,0,1.00,164,50
com.lafourchette.lafourchette,154.40065336227417,4/13,81,0,1.00,81,75
com.musicplayer.mp3.audio.mymusic.player,115.38982653617859,10/14,120,0,1.00,120,60
com.newleaf.app.android.victor,187.12856674194336,14/15,127,0,1.00,127,40
com.nimbusapp.allrecoveryfiles,73.11975121498108,10/12,130,0,1.00,130,100
com.openai.chatgpt,174.48708367347717,7/9,35,0,1.00,35,42.85
com.ottplay.ottplay,71.1337730884552,9/10,94,0,1.00,94,44.44
com.pdfviewer.scanner,75.99214267730713,12/12,383,0,1.00,383,80
com.pinterest,250.20224952697754,5/14,17,0,1.00,17,40
com.plantparentai.app,144.26326203346252,10/16,23,0,1.00,23,70
com.pvoercase.recover,185.82564067840576,8/15,29,0,1.00,29,40
com.radio.pocketfm,305.9594533443451,13/19,254,0,1.00,254,46.15
com.recoveryphotos.videos.allfiles,86.86230278015137,2/14,12,0,1.00,12,100
com.rjp.diarypro,123.16896486282349,1/13,4,0,1.00,4,100
com.sec.android.easyMover,76.23772883415222,3/7,207,0,1.00,207,100
com.snapchat.android,522.0376453399658,16/16,392,0,1.00,392,25
com.storymatrix.drama,157.35602116584778,12/16,76,0,1.00,76,50
com.teacapps.barcodescanner,21.787375450134277,5/7,119,0,1.00,119,100
com.tiny.tinyfun,145.58027696609497,12/14,48,0,1.00,48,33.33
com.waze,185.0694704055786,8/11,71,0,1.00,71,25
com.whatnot_mobile,379.7302691936493,7/11,77,0,1.00,77,36.36
com.zhiliaoapp.musically,2179.3468766212463,10/17,342,0,1.00,342,20
com.zzkko,323.41432785987854,11/18,390,0,1.00,390,27.27
fr.vinted,242.20928955078125,11/14,144,0,1.00,144,27.27
pdf.pdfreader.viewer.editor.free,96.31823801994324,10/10,775,0,1.00,775,100
recovery.photos.video.allrecovery.app,65.58951210975647,9/13,31,0,1.00,31,100
ai.storage.cleaner.app,113.63970589637756,6/8,91,0,1.00,91,100
com.deep.useful.video,37.404823541641235,8/8,58,0,1.00,58,25
com.pdfviewer.forandroid,137.86569905281067,4/15,8,0,1.00,8,100
com.utils.antivirustoolkit,84.29428005218506,10/11,87,0,1.00,87,30
com.cleanertool.box,64.34643459320068,11/11,186,0,1.00,186,100
com.microsoft.emmx,181.51676225662231,4/13,190,0,1.00,190,25
com.facebook.lite,3.2438101768493652,1/2,4,0,2.00,4,0
com.google.android.apps.translate,73.60494446754456,2/7,4,0,1.00,4,0
