APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS,PoR,RR,PoR
cn.danatech.xingseus,130.9614450931549,5,199,0,1.00,199,,50%,60.00
com.app.tgtg,213.62706208229065,7,352,0,1.00,352,,70%,42.85
com.azure.authenticator,94.98786425590515,1,117,0,1.00,117,,10%,0.00
com.codeway.aitutor,66.72684121131897,5,177,1,1.00,177,,50%,80.00
com.duckduckgo.mobile.android,120.7166485786438,3,43,0,1.00,43,,30%,100.00
com.duolingo,318.41704511642456,11,315,5,1.00,315,,78.56%,81.81
com.education.android.h.intelligence,168.44234466552734,10,235,4,1.00,235,,71.42%,50.00
com.gamma.scan,31.311243057250977,4,33,0,1.00,33,,40%,50.00
com.indeed.android.jobsearch,74.76507806777954,0,0,0,0.00,0,,0%,0.00
com.lafourchette.lafourchette,357.0594141483307,7,184,2,1.00,184,,70%,71.42
com.life360.android.safetymapd,430.40874004364014,8,369,4,1.00,369,,80%,12.50
com.mcdonalds.mobileapp,399.58355259895325,6,898,0,1.00,898,,60%,50.00
com.microsoft.teams,193.45056629180908,7,35,0,1.00,35,,70%,57.14
com.musicplayer.mp3.audio.mymusic.player,375.7902464866638,8,2152,0,1.00,2152,,80%,25.00
com.nintendo.znsa,55.9078631401062,3,56,0,1.00,56,,30%,33.33
com.pinterest,544.2815144062042,10,1060,0,1.00,1060,,71.42%,30.00
com.plantparentai.app,293.9882056713104,7,470,0,1.00,470,,70%,57.14
com.radio.pocketfm,887.6147496700287,13,5132,0,1.00,5132,,92.85%,38.46
com.recoveryphotos.videos.allfiles,108.9644365310669,7,628,0,1.00,628,,70%,71.42
com.rjp.diarypro,154.9076864719391,6,250,0,1.00,250,,60%,50.00
com.shazam.android,87.29024505615234,4,134,0,1.00,134,,40%,100.00
com.spotify.music,1714.0248050689697,11,2689,0,1.00,2689,,78.56%,36.36
com.ubercab.eats,594.1356756687164,0,0,0,0.00,0,,0%,0.00
us.zoom.videomeetings,586.1729266643524,11,4605,0,1.00,4605,,78.56%,27.27
com.dd.doordash,1354.8733358383179,6,897,0,1.00,897,,42.85%,66.66
