APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS,PoR,RR,PoR
cn.danatech.xingseus,130.961445093155,5,199,0,1,199,,50.00%,60
com.app.tgtg,213.627062082291,7,352,0,1,352,,70%,42.85
com.azure.authenticator,94.9878642559052,1,117,0,1,117,,10%,0
com.codeway.aitutor,66.726841211319,5,177,1,1,177,,50%,80
com.duckduckgo.mobile.android,120.716648578644,3,43,0,1,43,,30%,100
com.duolingo,318.417045116425,11,315,5,1,315,,78.56%,81.81
com.education.android.h.intelligence,168.442344665527,10,235,4,1,235,,71.42%,50
com.gamma.scan,31.311243057251,4,33,0,1,33,,40%,50
com.indeed.android.jobsearch,74.7650780677795,0,0,0,0,0,,0%,0
com.lafourchette.lafourchette,357.059414148331,7,184,2,1,184,,70%,71.42
com.life360.android.safetymapd,430.40874004364,8,369,4,1,369,,80%,12.5
com.mcdonalds.mobileapp,399.583552598953,6,898,0,1,898,,60%,50
com.microsoft.teams,193.450566291809,7,35,0,1,35,,70%,57.14
com.musicplayer.mp3.audio.mymusic.player,375.790246486664,8,2152,0,1,2152,,80%,25
com.nintendo.znsa,55.9078631401062,3,56,0,1,56,,30%,33.33
com.pinterest,544.281514406204,10,1060,0,1,1060,,71.42%,30
com.plantparentai.app,293.98820567131,7,470,0,1,470,,70%,57.14
com.radio.pocketfm,887.614749670029,13,5132,0,1,5132,,92.85%,38.46
com.recoveryphotos.videos.allfiles,108.964436531067,7,628,0,1,628,,70%,71.42
com.rjp.diarypro,154.907686471939,6,250,0,1,250,,60%,50
com.shazam.android,87.2902450561523,4,134,0,1,134,,40%,100
com.spotify.music,1714.02480506897,11,2689,0,1,2689,,78.56%,36.36
com.ubercab.eats,594.135675668716,0,0,0,0,0,,0%,0
us.zoom.videomeetings,586.172926664352,11,4605,0,1,4605,,78.56%,27.27
com.dd.doordash,1354.87333583832,6,897,0,1,897,,60.00%,66.66
,374.336381435394,,,,,,,57.57%,47.6544
