app,Reached Methods,Analysis time
dalvikexplorer,8,2.83
nectroid,6,3.19
alarmclock,4,2.88
Addi,0,7.26
battery_circle,0,2.11
mylock,15,2.01
swiftp,1,126.87
zooborns,10,2.21
lolcatbuilder,0,2.02
musicplayer,6,24.94
syncmypix,8,5.29
worldclock,14,2.34
aGrep,10,2.49
tippytipper,17,13.07
multismssender,11,2.27
quicksettings,3,2.88
munchlife,1,1.87
autoanswer,4,1.93
aagtl,0,6.87
netcounter,4,2.86
mileage,10,11.79
wikipedia,21,255.50
frozenbubble,14,4.89
lockpatterngenerator,0,2.12
divide_and_conquer,0,5.11
aard2,8,69.01
a2dpvolume,13,42.09
bites,13,2.55
aLogCat,15,5.28
mininoteviewer,20,3.97
k9mail,19,177.69
dialer2,0,2.17
batterydog,11,1.89
appcachecleaner,0,106.25
gestures,8,39.70
sanity,10,7.85
weight_chart,6,2.29
whohasmystuff,12,53.49
learn_music_notes,22,2.12
adsdroid,0,4.44
tomdroid,5,5.14
passwordmaker,7,97.21
importcontacts,20,2.36
countdowntimer,29,16.39
ringdroid,29,3.37
hotdeath,16,3.50
manpages,4,1.94
bomber,1,1.81
bookcatalogue,10,48.29
mirrored,0,12.61
anycut,5,1.83
translate,9,2.77
jamendo,17,5.10
yahtzee,35,2.11
amazed,0,2.75
blokish,20,88.42
AVERAGE,9.482142857142858,23.46410714285714
