App Name,Analysis Time (s),Max RAM Usage (MB)
a2dpvolume,20.456181987,758
aagtl,20.450285466,946
aard2,32.724972191,1228
acal,18.409180286,466
Addi,21.476613489,1172
adsdroid,20.449670492,1232
aGrep,18.407640581,497
alarmclock,18.406357016,441
aLogCat,18.407947593,397
amazed,18.409248649,488
androidmatic-keyer,22.497847189,1155
anycut,18.407963914,396
anymemo,84.888132677,4840
appcachecleaner,38.860321579,2093
autoanswer,18.408327084,406
battery_circle,18.406656230,404
batterydog,18.408197951,433
bites,18.407065895,480
blokish,30.682667607,2334
bomber,18.405673017,409
bookcatalogue,35.791729516,1544
countdowntimer,18.406285254,453
dalvikexplorer,18.409546574,484
dialer2,18.405851874,441
divide_and_conquer,19.430437513,729
fileexplorer,18.411361961,491
frozenbubble,19.429293258,708
gestures,22.493477121,1052
hndroid,19.430059118,570
hotdeath,19.434342128,664
importcontacts,18.410503675,454
jamendo,19.434175712,717
k9mail,113.532239604,3116
learn_music_notes,18.411017729,421
lockpatterngenerator,18.405702214,441
lolcatbuilder,18.408541287,387
manpages,18.409578170,416
mileage,20.456341753,968
mininoteviewer,19.430557150,586
mirrored,18.408992429,489
multismssender,18.408007345,412
munchlife,18.405660705,457
musicplayer,23.520520861,1238
myexpenses,599.217769206,18075
mylock,18.414503716,391
nectroid,19.430084281,543
netcounter,18.409781960,537
passwordmaker,48.072757391,2072
passwordmanager,65.464188298,2178
quicksettings,19.431676271,598
ringdroid,19.429673652,585
sanity,20.454847134,744
swiftp,38.858297008,1656
syncmypix,19.427017232,679
tippytipper,21.472166590,1217
tomdroid,20.450522147,753
translate,19.427294729,574
weight_chart,18.405288536,507
whohasmystuff,23.520096654,1246
wikipedia,115.571403650,3307
worldclock,18.408362719,437
yahtzee,18.406099256,403
zooborns,18.405581623,396
Overall Average,35.06,1185.89
Overall Average,35.06,1185.89
